U.S.,International,Retiree Medical
Pension,Pension,Medical
Change in projected benefit obligation,,
Obligation at beginning of year,"$ 15,230","$ 3,753,$ 988"
Service cost,434,"86,25"
Interest cost,435,"85,36"
Plan amendments,(221),"(17),(25)"
Participant contributions,—,"2,—"
Experience loss,"2,042","467,81"
Benefit payments,(378),"(92),(89)"
Settlement/curtailment,(808),"(24),—"
Special termination benefits,19,"—,—"
"Other, including foreign currency adjustment",—,"170,1"
Obligation at end of year,"$ 16,753","$ 4,430,$ 1,006"
Change in fair value of plan assets,,
Fair value at beginning of year,"$ 14,302","$ 3,732,$ 302"
Actual return on plan assets,"1,908","401,47"
Employer contributions/funding,387,"120,55"
Participant contributions,—,"2,—"
Benefit payments,(378),"(92),(89)"
Settlement,(754),"(29),—"
"Other, including foreign currency adjustment",—,"169,—"
Fair value at end of year,"$ 15,465","$ 4,303,$ 315"
Funded status,"$ (1,288)","$ (127),$ (691)"
Amounts recognized,,
Other assets,$ 797,"$ 110,—"
Other current liabilities,(53),"(1),(51)"
Other liabilities,"(2,032)","(236),(640)"
Net amount recognized,"$ (1,288)","$ (127),$ (691)"
Amounts included in accumulated other comprehensive loss (pre-tax),,
Net loss/(gain),"$ 4,116","$ 1,149,$ (212)"
Prior service (credit)/cost,(119),"(19),(45)"
Total,"$ 3,997","$ 1,130,$ (257)"
Changes recognized in net loss/(gain) included in other comprehensive loss,,
Net loss/(gain) arising in current year,"$ 1,009","$ 268,$ 50"
Amortization and settlement recognition,(409),"(75),23"
Foreign currency translation loss/(gain),—,"42,—"
Total,$ 600,"$ 235,$ 73"
Accumulated benefit obligation at end of year,"$ 15,949","$ 4,108"
