Fair Value,Hierarchy Level,2020,2019
U.S. plan assets (a),"Equity securities, including preferred stock (b)","1, $7,179","$6,605"
U.S. plan assets (a),Government securities (c),2,"2,177"
U.S. plan assets (a),Corporate bonds (c),2,"5,437"
U.S. plan assets (a),Mortgage-backed securities (c),2,119
U.S. plan assets (a),Contracts with insurance companies (d),3,9
U.S. plan assets (a),Cash and cash equivalents (e),1,"$2,278"
U.S. plan assets (a),Sub-total U.S. plan assets,,"$15,199"
U.S. plan assets (a),Real estate commingled funds measured at net asset value (f),,517
U.S. plan assets (a),"Dividends and interest receivable, net of payables",,64
U.S. plan assets (a),Total U.S. plan assets,"$15,780","$14,604"
International plan assets,Equity securities (b),1,"$2,119"
International plan assets,Government securities (c),2,937
International plan assets,Corporate bonds (c),2,445
International plan assets,Fixed income commingled funds (g),1,509
International plan assets,Contracts with insurance companies (d),3,50
International plan assets,Cash and cash equivalents,,33
International plan assets,Sub-total international plan assets,,"$4,093"
International plan assets,Real estate commingled funds measured at net asset value (f),,202
International plan assets,Dividends and interest receivable,,8
International plan assets,Total international plan assets,"$4,303","$3,732"
