Currency Translation Adjustment,Cash Flow Hedges,Pension and Retiree Medical,Other,Accumulated Other Comprehensive Loss Attributable to PepsiCo
"Balance as of December 30, 2017 (a)","$ (10,277)",$ 47,"$ (2,804)","$ (23),$ (13,057)"
Other comprehensive (loss)/income before reclassifications (b),"(1,664)",(61),(813),"6,(2,532)"
Amounts reclassified from accumulated other comprehensive loss,44,111,218,"—,373"
Net other comprehensive (loss)/income,"(1,620)",50,(595),"6,(2,159)"
Tax amounts,(21),(10),128,"—,97"
"Balance as of December 29, 2018 (a)","$ (11,918)",87,"$ (3,271)","(17),$ (15,119)"
Other comprehensive (loss)/income before reclassifications (c),636,(131),(89),"2,414"
Amounts reclassified from accumulated other comprehensive loss,—,14,468,"—,482"
Net other comprehensive (loss)/income,636,(117),379,"(2),896"
Tax amounts,(8),27,(96),"—,(77)"
"Balance as of December 28, 2019 (a)","$ (11,290)",(3),"$ (2,988)","(19),$ (14,300)"
Other comprehensive (loss)/income before reclassifications (d),(710),126,"(1,141)","(1),(1,726)"
Amounts reclassified from accumulated other comprehensive loss,—,(116),465,"—,349"
Net other comprehensive (loss)/income,(710),10,(676),"(1),(1,377)"
Tax amounts,60,(3),144,"—,201"
"Balance as of December 26, 2020 (a)","$ (11,940)",$ 4,"$ (3,520)","$ (20),$ (15,476)"
