SIGNATURE,TITLE,DATE
/s/Ramon L.Laguarta Ramon L. Laguarta,Chairman of the Board of Directors and Chief Executive Officer,"February 10, 2021"
/s/Hugh F.Johnston Hugh F. Johnston,"Vice Chairman,Executive Vice President February10, 2021 and Chief Financial Officer",
/s/Marie T.Gallagher Marie T. Gallagher,Senior Vice President and Controller (Principal Accounting Officer),"February 10,2021"
/s/Segun Agbaje Segun Agbaje,Director,"February 10,2021"
/s/Shona L.Brown Shona L. Brown,Director,"February 10,2021"
/s/Cesar Conde Cesar Conde,Director,"February 10,2021"
/s/Ian M.Cook Ian M. Cook,Director,"February 10,2021"
/s/Dina Dublon Dina Dublon,Director,"February 10,2021"
/s/Richard W.Fisher Richard W.Fisher,Director,"February 10,2021"
/s/Michelle Gass Michelle Gass,Director,"February10,2021"
/s/Dave J.Lewis Dave J. Lewis,Director,"February 10,2021"
/s/David C.Page David C. Page,Director,"February 10,2021"
/s/Robert C.Pohlad Robert C.Pohlad,Director,"February10,2021"
/s/Daniel Vasella Daniel Vasella,Director,"February 10,2021"
/s/Darren Walker Darren Walker,Director,"February 10,2021"
/s/Alberto Weisser Alberto Weisser,Director,"February 10,2021"
