Currency Translation Adjustment,Cash Flow Hedges,Pension and Retiree Medical,Other,Accumulated Other Comprehensive Loss Attributable to PepsiCo
"Balance as of December 30, 2017 (a)","$ (10,277)",47,"$ (2,804)",$ (23)
Other comprehensive (loss)/income before reclassifications (b),"(1,664)",(61),(813),6
Amounts reclassified from accumulated other comprehensive loss,44,111,218,
Net other comprehensive (loss)/income,"(1,620)",50,(595),6
Tax amounts,(21),(10),128,
"Balance as of December 29, 2018 (a)","$ (11,918)",87,"$ (3,271)",(17)
Other comprehensive (loss)/income before reclassifications (c),636,(131),(89),2
Amounts reclassified from accumulated other comprehensive loss,,"14,468",,
Net other comprehensive (loss)/income,636,(117),379,(2)
Tax amounts,(8),27,(96),
"Balance as of December 28, 2019 (a)","$ (11,290)",(3),"$ (2,988)",(19)
Other comprehensive (loss)/income before reclassifications (d),(710),126,"(1,141)",(1)
Amounts reclassified from accumulated other comprehensive loss,,(116),465,
Net other comprehensive (loss)/income,(710),10,(676),(1)
Tax amounts,60,(3),144,
"Balance as of December 26, 2020 (a)","$ (11,940)",4,"$ (3,520)",(20)
