Short-term debt obligations,2020,2019,Long-term debt obligations,2020,2019
Current maturities of long-term debt,"$ 3,358","$ 2,848",Notes due 2020 (2.7%),—,"2,840"
Commercial paper (0.2%),396,—,Notes due 2021 (2.2% and 2.4%),"3,356","3,276"
Other borrowings (1.7% and 6.4%),26,72,Notes due 2022 (2.5% and 2.7%),"3,867","3,831"
"$ 3,780","$ 2,920",Notes due 2023 (1.5% and 2.8%),"3,017","1,272",
,,Notes due 2024 (2.1% and 3.4%),"3,067","1,839",
,,Notes due 2025 (2.7% and 3.1%),"3,227","1,691",
,,Notes due 2026-2060 (2.9% and 3.4%),"27,165","17,219",
,,"Other, due 2020-2026 (1.3% and 1.3%)",29,28,
,,"43,728","31,996",,
,,Less: current maturities of long-term debt obligations,"(3,358)","(2,848)",
,,Total,"$ 40,370","$ 29,148",
