Amount Reclassified from Accumulated Other Comprehensive Loss,2020,2019,2018,Affected Line Item in the Income Statement
Currency translation: Divestitures,$,$,$,"Selling, general and administrative expenses"
Currency translation: Divestitures,$,$,44,"Selling, general and administrative expenses"
Currency translation: Divestitures,$,$,$,"Selling, general and administrative expenses"
Cash flow hedges: Foreign exchange contracts,$,$,1,Net revenue
Cash flow hedges: Foreign exchange contracts,$,$,2,Cost of sales
Cash flow hedges: Foreign exchange contracts,$,$,7,Cost of sales
Cash flow hedges: Foreign exchange contracts,$,$,119,Net interest expense and other
Cash flow hedges: Interest rate derivatives,(129),7,119,Net interest expense and other
Cash flow hedges: Commodity contracts,50,3,3,Cost of sales
Cash flow hedges: Commodity contracts,6,1,(3),"Selling, general and administrative expenses"
Cash flow hedges: Commodity contracts,$,$,$,"Selling, general and administrative expenses"
Cash flow hedges: Commodity contracts,$,$,$,"Selling, general and administrative expenses"
Cash flow hedges: Net (gains)/losses before tax,(116),14,111,Net (gains)/losses before tax
Cash flow hedges: Tax amounts,29,(2),(27),Tax amounts
Cash flow hedges: Net (gains)/losses after tax,$,$,$,Net (gains)/losses after tax
Pension and retiree medical items: Amortization of net prior service credit,$,$,(9),Other pension and retiree medical benefits income/(expense)
Pension and retiree medical items: Amortization of net prior service credit,$,$,(17),Other pension and retiree medical benefits income/(expense)
Pension and retiree medical items: Amortization of net losses,238,169,216,Other pension and retiree medical benefits income/(expense)
Pension and retiree medical items: Amortization of net losses,227,308,19,Other pension and retiree medical benefits income/(expense)
Pension and retiree medical items: Settlement/curtailment losses,227,308,19,Other pension and retiree medical benefits income/(expense)
Pension and retiree medical items: Net losses before tax,465,468,218,Net losses before tax
Pension and retiree medical items: Tax amounts,(101),(102),(45),Tax amounts
Pension and retiree medical items: Net losses after tax,$,$,$,Net losses after tax
"Total net losses reclassified for the year, net of tax",$,$,$,"Total net losses reclassified for the year, net of tax"
