ROIC,2020,14.7 %,2019,17.7 %,Impact of:
"Average cash, cash equivalents and short-term investments",3.4,3.0,,,
Interest income,(0.2),(0.5),,,
Tax on interest income,0.1,0.1,,,
Mark-to-market net impact,(0.1),(0.2),,,
Restructuring and impairment charges,0.3,0.5,,,
Inventory fair value adjustments and merger and integration charges,0.4,0.1,,,
Pension-related settlement charges,0.2,0.5,,,
Net tax related to the TCJ Act,0.1,(1.0),,,
Other net tax benefits,1.0,,,2.2,
Charges related to cash tender and exchange offers,,,-,(0.1),-
"Net ROIC, excluding items affecting comparability",19.9 %,,,22.3 %,
