Property Type,Location,Owned/ Leased
Research and development facility,"Plano,Texas",Owned
Food plant,"Cedar Rapids,Iowa",Owned
Research and development facility,"Valhalla,New York",Owned
Concentrate plant,"Arlington,Texas",Owned
Tropicana plant,"Bradenton,Florida",Owned
Snack plant,"Celaya,Mexico",Owned
Two snack plants,"Vallejo, Mexico",Owned
Snack plant,"Kashira, Russia",Owned
Manufacturing plant,"Lehavim, Israel",Owned
Dairy plant,"Moscow, Russia",Owned (a)
Snack plant,"Riyadh, Saudi Arabia",Owned (a)
Snack plant,"Wuhan, China",Owned (a)
Shared service center,"Winston Salem, North Carolina",Leased
Concentrate plant,"Colonia, Uruguay",Owned (a)
Two concentrate plants,"Cork, Ireland",Owned
Concentrate plant,Singapore,Owned
Shared service center,"Hyderabad, India",Leased
