Short-term debt obligations,2020,2019,Long-term debt obligations,2020,2019
Current maturities of long-term debt,"$ 3,358","$ 2,848",Notes due 2020 (2.7%),,
Commercial paper (0.2%),396,,Notes due 2021 (2.2% and 2.4%),,
Other borrowings (1.7% and 6.4%),,,,,
"$ 3,780","$ 2,920",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Other, due 2020-2026 (1.3% and 1.3%)",29,28,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Less: current maturities of long-term debt obligations,"(3,358)","(2,848)",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Total,"$ 40,370","$ 29,148",,,
