"Balance, Balance, Balance,Beginning Translation End of Translation End of2019 Acquisitions and Other 2019 Acquisitions and Other 2020FLNA@","Balance, Balance, Balance,Beginning Translation End of Translation End of2019 Acquisitions and Other 2019 Acquisitions and Other 2020FLNA@","Balance, Balance, Balance,Beginning Translation End of Translation End of2019 Acquisitions and Other 2019 Acquisitions and Other 2020FLNA@","Balance, Balance, Balance,Beginning Translation End of Translation End of2019 Acquisitions and Other 2019 Acquisitions and Other 2020FLNA@","Balance, Balance, Balance,Beginning Translation End of Translation End of2019 Acquisitions and Other 2019 Acquisitions and Other 2020FLNA@","Balance, Balance, Balance,Beginning Translation End of Translation End of2019 Acquisitions and Other 2019 Acquisitions and Other 2020FLNA@","Balance, Balance, Balance,Beginning Translation End of Translation End of2019 Acquisitions and Other 2019 Acquisitions and Other 2020FLNA@","Balance, Balance, Balance,Beginning Translation End of Translation End of2019 Acquisitions and Other 2019 Acquisitions and Other 2020FLNA@"
Goodwill,$ 297$,(3)$ 5$,(3)$ 5$,299$,164$ 2$ 465,164$ 2$ 465,164$ 2$ 465
Brands,161,,,162,179,(1) 340,(1) 340
Total,458,(3),6,461,343,1 805,1 805
QFNA,,,,,,,
Goodwill,184,6,(1),189,,189,189
Brands,25,(14),,11,,(11),(11)
Total,209,8,(1),200,,(11) 189,(11) 189
PBNA (b),,,,,,,
Goodwill,"9,813",66,19,9.898,"2,280",11,"12,189"
Reacquired franchise rights,"7,058",,31,"7,089",,18,"7,107"
Acquired franchise rights,"1,510",,7,"1,517",16,"3 1,536","3 1,536"
Brands,353,418,8),763,"2,400","(41) 3,122","(41) 3,122"
Total,"18,734",484,49,"19,267","4,696","9 23,954","9 23,954"
LatAm,,,,,,,
Goodwill,509,,(8）,501,,(43),458
Brands,127,,(2),125,,(17),108
Total,636,,（10）,626,,（60 566,（60 566
Europe( @),,,,,,,
Goodwill,"3,361",440,160,"3,961",(2),"(153) 3,806","(153) 3,806"
Reacquired franchise rights,497,,8,505,,(9) 496,(9) 496
Acquired franchise rights,161,,(4),157,,15 172,15 172
Brands,"4,188",(139),132,"4,181",,"(109) 4,072","(109) 4,072"
Total,"8,207",301,296,8.804,(2),"(256) 8,546","(256) 8,546"
AMESA,,,,,,,
Goodwill,437,11,(2),446,560,"90 1,096","90 1,096"
Brands,,,,,183,31 214,31 214
Total,437,11,(2),446,743,"121 1,310","121 1,310"
APAC,,,,,,,
Goodwill,207,,,207,306,41 554,41 554
Brands,101,,(1),100,309,36 445,36 445
Total,308,,1 307,1 307,615,77 999,77 999
Total goodwill,"14,808",520,173,"15,501","3,308","(52) 18,757","(52) 18,757"
Total reacquired franchise rights,"7,555",,39,"7,594",,"9 7,603","9 7,603"
Total acquired franchise rights,"1,671",,3,"1,674",16,"18 1,708","18 1,708"
Total brands,"4,955",265,122,"5,342",3.071,"(112) 8,301","(112) 8,301"
Total,$28.989,$ 785S,337S,"30,111",$ 6.395S,"(137s36,369","(137s36,369"
