,Net Revenue,Net Revenue,Net Revenue,Operating Profit,Operating Profit,Operating Profit,Operating Profit
,2020,2019,2018,2020,,2019,2018
FLNA,"$ $18,189 $","17,078 $","S16,346",$,"5,340 $","5,258 $","5,008"
QFNA,"2,742","2,482","2,465",,669,544,637
PBNA,"22,559","21,730","21,072",,"1,937","2,179","2,276"
LatAm,"6,942","7,573",,"7,354","1,033","1,141","1,049"
Europe,"11,922","11,728",,"10,973","1,353","1,327","1,256"
AMESA (a),"4,573",3.651,,"3,657",600,671,661
APAC (b),"3,445","2,919",,"2,794",590,477,619
Total division,"70,372","67,161",,"64,661","11,522","11,597","11,506"
Corporate unallocated expenses,,,,,"(1,442)","(1,306)","(1,396)"
Total,"$70,372$",,,,"67,161$ 64,661$ 10,080$1","10,291$10,110",
