Net income,$,"7,175$","7,353$","12,559"
"Other comprehensive (loss)/income, net of taxes:",,,,
Net currency translation adjustment,-650,628,"(1,641)",
Net change on cash flow hedges,7,-90,40,
Net pension and retiree medical adjustments,-532,283,-467,
Other,-1,-2,6,
,"(1,176)",819,"(2,062)",
Comprehensive income,"5,999","8,172","10,497",
Less: Comprehensive income attributable to noncontrolling interests,55,39,44,
Comprehensive Income Attributable to PepsiCo,"$ 5,944$","8,133S","10,453",
