Stock Options,2020,2019,2018
Total number of options granted (a),,"1,847","1,286"
Weighted-average grant-date fair value of options granted,$ 8.31,$ 10.89,$ 9.80
Total intrinsic value of options exercised (a),,"$ 155,096","$ 275,745"
Total grant-date fair value of options vested (a),,"$ 8,652","$ 9,838"
RSUs/PSUs,2020,2019,2018
Total number of RSUs/PSUs granted (a),"2,496","2,754","2,634"
Weighted-average grant-date fair value of RSUs/PSUs granted,$ 131.21,$ 116.87,$ 108.75
Total intrinsic value of RSUs/PSUs converted (a),,"$ 303,165","$ 333,951"
Total grant-date fair value of RSUs/PSUs vested (a),,"$ 235,523","$ 275,234"
PEPunits,2020,2019,2018
Total intrinsic value of PEPunits converted (a),,,
Total grant-date fair value of PEPunits vested (a),,,
