,FairValue Hierarchy Level,2020,2019
U.S. plan assets (@),U.S. plan assets (@),U.S. plan assets (@),U.S. plan assets (@)
"Equity securities, including preferred stock (b)",1,"7,179$","6,605"
Government securities (),2,"2,177","2,154"
Corporate bonds (c),2,"5,437","4,737"
Mortgage-backed securities (),2,119,159
Contracts with insurance companies (@),3,9,9
Cash and cash equivalents (e),"1,2",278,275
Sub-total U.S.plan assets,,"15,199","13,939"
Real estate commingled funds measured at net asset value (f),,517,605
"Dividends and interest receivable, net of payables",,64,60
Total U.S. plan assets,,"15,780$","14,604"
International plan assets,International plan assets,International plan assets,International plan assets
Equity securities (b),"1, 2","2,119 $","1,973"
Government securities (c),2,937,725
Corporate bonds (),2,445,331
Fixed income commingled funds (g),1,509,437
Contracts with insurance companies (@),3,50,42
Cash and cash equivalents,,33,24
Sub-total international plan assets,,"4,093","3,532"
Real estate commingled funds measured at net asset value (),,202,193
Dividends and interest receivable,,8,7
Total international plan assets,,"4,303$","3,732"
