Accounts and notes receivable,2020,2019,2018
Trade receivables,"$ 6,892","$ 6,447",
Other receivables,"1,713","1,480",
Total,"8,605","7,927",
"Allowance, beginning of year",105,101,$ 129
Cumulative effect of accounting change,44,—,—
Net amounts charged to expense (a),79,22,16
Deductions (b),(32),(30),(33)
Other (c),5,12,(11)
"Allowance, end of year",201,105,$ 101
Net receivables,"$ 8,404","$ 7,822",
Inventories (d),2020,2019,2018
Raw materials and packaging,"$ 1,720","$ 1,395",
Work-in-process,205,200,
Finished goods,"2,247","1,743",
Total,"$ 4,172","$ 3,338",
"Property, plant and equipment, net (e)",2020,2019,2018
Land,"$ 1,171","$ 1,130",
Buildings and improvements,15 - 44,"10,214","9,314"
"Machinery and equipment, including fleet and software",5 - 15,"31,276","29,390"
Construction in progress,"3,679","3,169",
"46,340","43,003",,
Accumulated depreciation,"(24,971)","(23,698)",
Total,"$ 21,369","$ 19,305",
Depreciation expense,"$ 2,335","$ 2,257","$ 2,241"
Other assets,2020,2019,2018
Noncurrent notes and accounts receivable,$ 109,$ 85,
Deferred marketplace spending,130,147,
Pension plans (f),910,846,
Right-of-use assets (g),"1,670","1,548",
Other,493,385,
Total,"$ 3,312","$ 3,011",
