,Amount Reclassified from Accumulated Other Comprehensive Loss,Amount Reclassified from Accumulated Other Comprehensive Loss,Amount Reclassified from Accumulated Other Comprehensive Loss,Amount Reclassified from Accumulated Other Comprehensive Loss,Affected Line Item in the Income Statement,
,2020,,2019,2018,Affected Line Item in the Income Statement,
Currency translation:,Currency translation:,Currency translation:,Currency translation:,Currency translation:,Currency translation:,Currency translation:
Divestitures,$,$,,$ 44,expenses,"Selling, general and administrative"
Cash flow hedges:,Cash flow hedges:,Cash flow hedges:,Cash flow hedges:,Cash flow hedges:,Cash flow hedges:,Cash flow hedges:
Foreign exchange contracts,$,$,1$,,(1） Net revenue,
Foreign exchange contracts,,(43),,2,(7） Cost of sales,
Interest rate derivatives,,(129),,7,,119Net interest expense and other
Commodity contracts,,50,,3,,3Cost of sales
Commodity contracts,,6,,,（3),"Selling, general and administrative expenses"
Net (gains)/losses before tax,,(116),14,,111,
Tax amounts,,29,,(2),(27),
Net (gains)/losses after tax,$,,(87)$12$,,84,
Pension and retiree medical items:,Pension and retiree medical items:,Pension and retiree medical items:,Pension and retiree medical items:,Pension and retiree medical items:,Pension and retiree medical items:,Pension and retiree medical items:
Other pension and retiree medical,Other pension and retiree medical,Other pension and retiree medical,Other pension and retiree medical,Other pension and retiree medical,Other pension and retiree medical,Other pension and retiree medical
Amortization of net prior service credit Amortization of net losses,$,$,,(9) $,(17),benefits income/(expense) Other pension and retiree medical
Settlement/curtailment losses,,238,,169,216,benefits income/(expense) Other pension and retiree medical
Net losses before tax,,227 465,468,308,19 218,benefits income/(expense)
Tax amounts,,(101),(102),,(45),
Net losses after tax,$,364$,366,$,173,
"Total net losses reclassified for the year, net of tax",$,277$,,378$,301,
