2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
,"Selling, general and","Selling, general and","Selling, general and","Selling, general and","Selling, general and",Other pension and retiree medical,Other pension and retiree medical,Provision for Net income,Provision for Net income
,,Cost of sales,Gross profit,administrative expenses $,Operating profit,benefits income,come,,attributable to PepsiCo
"Reported, GAAP Measure",,"$31,797","38,575","28,495","$ 10,080",$,117 $,"1,894 $","7,120"
Items Affecting Comparability,,,(64),9,(73),,,(15),
Mark-to-market net impact Restructuring and impairment charges,,64 (30),30,(239),269,,20,58,(58) 231
Inventory fair value adjustments and,,,,,255,,,,
merger and integration charges Pension-related settlement charge,,(32),32,(223),,,205,18 47,237
"Core, Non-GAAP Measure",,"$ 31,799 $",38.573 $,28.042,"$ 10,531",$,342$,"2,002","158 7,688"
,,,,,2019,,,,
Cost of Gross administrative,,,"Selling, general and",,Other pension and retiree medical benefits,,Provision for,Net income attributable to,Net income
"Reported, GAAP Measure","sales $30,132","profit $37,029","expenses 26,738","Operating profit $ 10,291",(expense)/ income $,(44) $,"income taxes(a) 1,959 $",noncontrolling interests 39,"attributable to PepsiCo 7,314"
Items Affecting Comparability,,,,,,,,,
Mark-to-market net impact,57,(57),55,(112),,,(25),,(87)
Restructuring and impairment charges,(115),115,(253),368,,2,67,5,298
Inventory fair value adjustmentsand merger and integration charges,(34),34,(21),55,,,8,,47
Pension-related settlement charges,,,,,,273,62,,211
Net tax related to the TCJ Act,,,,,,,8,,
"Core, Non-GAAP Measure","$30,040","$37,121","$ 26,519","$ 10,602",$,231 $,"2,079 $",44,8) 7.775
