penreeerrr cg ernrts,Grrrrrnierini,rrrrs orrisnnsnrriinnr,r serneersserpsesser,iierisrrrereererer,rrrerrrrerreerresrreri,ernireeeeineerereeeGer go Tnonr,lrrrrrcerrereigtcrrner,sss rnrtitrrrielrrtrese,Yrrr sseeotrsersareeert,sernrnrsereee sreree niee,sssrernrr ng Gn grree,Ss I hTI ieT,Se L iI e,reeentrerneterrereeerrrartrpteesrelrerea ert steeste
Govt/Jurisdiction,,,,,,,,,,,,,,
Afghanistan,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y
Albania,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
Algeria,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Antigua and Barbuda,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Argentina,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Armenia,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Aruba²,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N
Bahamas,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Barbados,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y
Belgium,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Belize,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Benin,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
Peareeoieer cn gernrs,rrlninnirrrrl,rrrgrriserrrsnr,rneresssrsssr,Yierislrer eererer,rrelrnereeteerer,rreeeeiineeereeeerrnr rr,eerrnerrereetcrnr,ss crtrrlerrss,Brrssseorgeeeet,rieareret teres nnee,Ssesrerrr gGnrae,S OI eIeE,S GI Ie,arerrtsgarttrrgrreee eterseeeennnterarrrreinniarrresn et
Govt/Jurisdiction,,,,,,,,,,,,,,
Bolivia,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Brazil,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
British VirginIslands3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Burma,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N
Cabo Verde,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
Canada,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Cayman Islands3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
China,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N
Colombia,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Costa Rica,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y
Cuba,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
Curacao²,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N
Cyprus4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Dominica,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Dominican Republic,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
