Area administered byTurkish Cypriots,Y,Y,Y,Y,Y,N,N,Y,N,N/A,N/A,N/A,N/A,N
Peareeger risrlnrt,rrrrerr,rrlrrisererr,rreressiseseer,ierierreae,rrerrrrnereeelerrrer,eeereeereeeerrrdnro crn,reerrceereetrterenn,serrrerrtitrte,essersreert,rneseee eerernrSAOO,Sstsrererr GeiBnLn nerelt,S nI I Te,S L Ie,eeetnreeenrnnrnrtrstrtsplegtn erseteeeartnreiaini[rrr
Govt/Jurisdiction,,,,,,,,,,,,,,
Ecuador,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
El Salvador,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Georgia,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Ghana,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Guatemala,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y
Guyana,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
Haiti,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N
Honduras,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Hong Kong,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
India,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
Indonesia,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
Iran,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N/A
Italy,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Jamaica,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Kazakhstan,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Kenya,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
Kyrgyz Republic,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N
