```csv
Currency translation differences,"Additions through business combinations","Additions","Reclassifications","Retirements","Gross carrying amount at end of fiscal year 2020","Accumulated amortization, depreciation and impairments","Carrying amount at end of fiscal year 2020","Amortization, depreciation and impairments in fiscal year 2020"
-72,"-",245,-1,-15,1812,-657,1154,-99
-41,299,37,1,-1,862,-401,461,-53
-135,139,-,-,-,2331,-2034,297,-138
-248,438,281,-,-,5005,-3093,1912,-290
-51,1,35,137,-3,1340,-645,694,-40
-38,-,25,35,-10,874,-620,254,-50
-46,2,86,22,-49,1103,-816,287,-93
-96,-,302,25,-149,1866,-1033,832,-185
-16,-,127,-219,-,264,-,264,-
-21,14,110,-,-,459,-98,361,-105
-5,-,57,-,-,128,-45,82,-53
-273,17,742,-,-,6033,-3259,2774,-525
```
