```tsv
"Sept 30, 2021","Equity interest in %"
"Varian Medical Systems Gesellschaft mbH, Brunn am Gebirge/Austria","100"
"Varian Medical Systems Hungary Kft., Budapest/Hungary","100"
"Varian Medical Systems Iberica SL, Alcobendas/Spain","100"
"Varian Medical Systems Imaging Laboratory G.m.b.H., Dättwil/Switzerland","100"
"Varian Medical Systems International AG, Steinhausen/Switzerland","100"
"Varian Medical Systems Italy SpA, Segrate/Italy","100"
"Varian Medical Systems Mauritius Ltd., Ebene/Mauritius","100"
"Varian Medical Systems Nederland B.V., Houten/Netherlands","100"
"Varian Medical Systems Nederland Finance B.V., Houten/Netherlands","100"
"Varian Medical Systems Poland Sp. z o.o., Warsaw/Poland","100"
"Varian Medical Systems Scandinavia AS, Herlev/Denmark","100"
"Varian Medical Systems UK Holdings Limited, Crawley, West Sussex/United Kingdom","100"
"Varian Medical Systems UK Limited, Crawley, West Sussex/United Kingdom","100"
"Varianak Bulgaria EOOD, Sofia/Bulgaria","100"
"Varianak Europe SRL (Romania), Pantelimon/Romania","100"
"VMS Kenya, Ltd, Nairobi/Kenya","100"
"Americas (46 companies)",""
"Acuson, LLC, Wilmington, DE/United States","100"
"Corindus, Inc., Wilmington, DE/United States","100"
"D3 Oncology Inc., Wilmington, DE/United States","100"
"Dade Behring Hong Kong Holdings Corporation, Tortola/British Virgin Islands","100"
"Dedicated2Imaging LLC, Wilmington, DE/United States","80"
"ECG Acquisition, Inc., Wilmington, DE/United States","100"
"ECG TopCo Holdings, LLC, Wilmington, DE/United States","73"
"EPOCAL INC., Toronto/Canada","100"
"Executive Consulting Group, LLC, Wilmington, DE/United States","100"
"J. Restrepo Equiphos S.A.S, Bogotá/Colombia","100"
"Mansfield Insurance Company, Burlington, VT/United States","100"
"Monarch Capital, Limited, Grand Cayman/Cayman Islands","100"
```
