Radiowave,part of the electromagnetic spectrum; mainly used for communication
Refraction,the change in direction of a wave when passing through one medium to another of different density
Frequency,the number of waves passing through a point in a space of time i.e 300 m/s
Microwaves,the shortest wavelength of radiowaves in the electromagnetic spectrum
Aerial,a device for receiving and transmitting radio signals
Ionosphere,a layer of the upper atmosphere
Interference,poor radio reception caused by overlapping waves
Electromagnetic Spectrum,the complete range of observed electromagnetic waves
Wavelength,Distance occupied by one complete cycle of a wave
Ghosting,the effect of two signals from the same source which have travelled distances to reach an aerial
