,Redeemable Noncontrolling Interests,Common Stock,Common Stock,Common Stock,Additional Paid-In Accumulated,Additional Paid-In Accumulated,Additional Paid-In Accumulated,Total Stockholders' Equity,Noncontrolling Interests in Subsidiaries,Total Equity
,Redeemable Noncontrolling Interests,,,Amount (1),Capital (1),Deficit,Comprehensive Income (Loss),Total Stockholders' Equity,Noncontrolling Interests in Subsidiaries,Total Equity
"Balance as of December 31, 2017",398,Shares (1) 844,$,$ 1,"9,177","(4,974)",33,"$ 4,237",$,"997 $5,234"
Adjustments for prior periods from adopting ASC 606,8,,,,$,623,,623,(89),534
Adjustments for prior periods from adopting Accounting Standards,,,,,,,,,,
Update No.2017-05,1,,,,,9,,9,,9
Exercises of conversion feature of convertible senior notes,一,,1 18,0,0,,,0,,0
Issuance of common stock for equity incentive awards,,,,0,296,,,296,,296
Stock-based compensation Contributions from noncontrolling interests,一,,,,775,一,,775,161,775
Distributions to noncontrolling interests,276 (61),,,一,一,1 一,一,一,(210),161 (210)
Other,(3),一,,,一,一,,,,
Net loss,(62),一,,,一,(976),一,(976),,"(25) (1,001)"
"Other comprehensive loss Balance as of December 31, 2018",,,,,$,$,(41),(41),,(41)
Adjustments for prior periods from adopting ASC 842,556,,863 $,1 $,"10,248","(5,318)",（8）,"4,923",$,"$5,757"
Conversion feature of 2.0o% Convertible Senior Notes due in 2024,二,,,,,97,,97,,97
"(""2024 Notes"") Purchase of convertible note hedges",1,,一,一,491 (476),,,491 (476),,491
Sales of warrants Issuance of common stock for equity incentive awards and,,,,,174,1,,174,,(476) 174
"acquisitions,net of transaction costs Issuance of common stock in May 2019 public offering at $48.60 per",,,24,0,482,,,482,,482
"share (1), net of issuance costs of $15",,,,,,,,,,
Stock-based compensation,一 1,,18 1,0 1,848 973,1,1,848 973,,848 973
Contributions from noncontrolling interests Distributions tononcontrolling interests,105,,,,,一,,,174,174
Other,(65）,,,1,1,1,1,1,(198),(198)
Net income (loss),(1) 48,,,,(4),(862),,(4) (862),39,(4) (823)
Other comprehensive loss,,,,,一,,(28),(28),,(28)
"Balance as of December 31, 2019",643,905,$,1 $,"12,736 $","(6,083) $",(36）,"6,618",$ 849,"$7,467"
Adjustments for prior periods from adopting ASU 2016-13,,,,一,二,(37),二,(37),,(37)
Reclassification between equity and mezzanine equity for convertible,,,,,,,,,,
senior notes,,,,,(51),,,(51),,(51)
Exercises of conversion feature of convertible senior notes,,,2,0,59,,,59,,59
Issuance of common stock for equity incentive awards,,,19,0,417,,,417,,417
"Issuance of common stock in public offerings, net of issuancecosts of $68 (1)",,,34,0,"12,269",,,"12,269",,
Stock-based compensation,二,,,,"1,861",,,"1,861",,"12,269 1,861"
Contributions from noncontrolling interests,7,,,,,,,,17,17
Distributions to noncontrolling interests,(67),,,,,一,,,(132),(132)
Buy-outs of noncontrolling interests,(4),,,,(31),一,,(31),,(31)
Net income,25,,,,,721,,721,116,837
Other comprehensive income,一,,,,"27,260","一 (5,399)",399 363,"399 22,225",850,399
"Balance as of December 31,2020",604,,960 $,,,,,,,
