Gross Carrying Amount,"December31,2020 Accumulated Amortization",Other,Net Carrying Amount,Gross Carrying Amount,"December31,2019 Accumulated Amortization",Other,Net Carrying Amount
Developed technology,302,$ (111)$,3,194,291,(72)$,
Trade names,3,(1),,2,,(1),1 1
"Favorable contracts and leases, net",113,(32),,81,113,(24),
Other,38,(18),1,21,38,(16),
Total finite-lived intangible assets,456,(162),4,298,445,(113),2
Gigafactory Nevada water rights,15,,,15,,,
,,,,,,,
In-process research and development (IPR&D),,,,,60,,(60)
Total infinite-lived intangible assets,15,,,15,65,,(60)
Total intangible assets,471,(162),4,313,510,(113),(58)
