Lender,Revolving Loan Commitment,DTTP Passport Scheme Reference Number
DEUTSCHE BANK AG NEW YORK BRANCH,"$275,000,000.00",07/D/70006/DTTP
"BANK OF AMERICA, N.A.","$272,000,000.00",13/B/7418
BARCLAYS BANK PLC,"$272,000,000.00",N/A
"CITIBANK, N.A.","$272,000,000.00",13/C/62301/DTTP
GOLDMAN SACHS BANK USA,"$272,000,000.00",13/G/351779/DTTP
"MORGAN STANLEY SENIOR FUNDING, INC.","$272,000,000.00",13/M/227953/DTTP
"CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH","$197,500,000.00",N/A
SOCIETE GENERALE S.A. - NEW YORK BRANCH,"$197,500,000.00",5/S/70085/DTTP
"WELLS FARGO BANK, NATIONAL ASSOCIATION","$197,500,000.00",13/W/61173/DTTP
BANK OF THE WEST,"$100,000,000.00",13/B/359711/DTTP
TOTAL COMMITMENTS,"$2,327,500,000.00",
