,Gross Carrying Amount,"December31,2020 Accumulated Amortization",Other,Net Carrying Amount,Gross Carrying Amount,"December31,2019 Accumulated Amortization",Other,Net Carrying Amount
Finite-lived intangible assets:,,,,,,,,
Developed technology,302,$ (111)$,3,194,291,(72)$,,$ 220
Trade names,3,(1),,2,,(1),1 1,3
Favorable contracts and,,,,,3,,,
"leases, net",113,(32),,81,113,(24),,89
Other,38,(18),1,21,38,(16),,22
Total finite-lived,,,,,,,,
intangible assets,456,(162),4,298,445,(113),2,334
Indefinite-lived,,,,,,,,
intangible assets:,,,,,,,,
Gigafactory Nevada water rights,15,,,15,,,,5
In-process research,,,,,5,,,
and development,,,,,,,,
"(""IPR&D"")",,,,,60,,(60),
Total infinite-lived,,,,,,,,
intangible assets,15,,,15,65,,(60),5
Total intangible assets,471,(162),4,313,510,(113),(58),339
,,,,,,,,$
