Mound Solar Master Tenant VI, LLC\tDelaware
Name\tLocation,
Fontane Solar I,LLC\tDelaware
Fotovoltaica GI 4,S. de R.L. de C.V.\tMexico
Fotovoltaica GI 5,S. de R.L. de C.V.\tMexico
FP System Owner,LLC\tDelaware
FTE Solar I,LLC\tDelaware
Gambit Energy Storage,LLC\tDelaware
Grohmann Engineering Trading (Shanghai) Co. Ltd.\tChina,
Grohmann USA,Inc.\tDelaware
Guilder Solar,LLC\tDelaware
Hamilton Solar,LLC\tDelaware
Hangzhou Silevo Electric Power Co.,Ltd.\tChina
Harpoon Solar I,LLC\tDelaware
Harpoon Solar Manager I,LLC\tDelaware
Haymarket Holdings,LLC\tDelaware
Haymarket Manager 1,LLC\tDelaware
Haymarket Solar 1,LLC\tDelaware
Hibar China Co. Ltd.\tChina,
Hibar Systems Europe GmbH\tGermany,
Hive Battery Inc.\tDelaware,
Ikehu Manager I,LLC\tDelaware
IL Buono Solar I,LLC\tDelaware
Iliosson,S.A. de C.V.\tMexico
Industrial Maintenance Technologies,Inc.\tCalifornia
Klamath Falls Solar 1,LLC\tDelaware
Knight Solar Managing Member I,LLC\tDelaware
Knight Solar Managing Member II,LLC\tDelaware
Knight Solar Managing Member III,LLC\tDelaware
Landlord 2008-A,LLC\tDelaware
Louis Solar II,LLC\tDelaware
Louis Solar III,LLC\tDelaware
Louis Solar Manager II,LLC\tDelaware
Louis Solar Manager III,LLC\tDelaware
Louis Solar Master Tenant I,LLC\tDelaware
Name\tState\tCountry,
Louis Solar III,LLC\tDelaware\t
Louis Solar Manager II,LLC\tDelaware\t
Louis Solar Manager III,LLC\tDelaware\t
Louis Solar Master Tenant I,LLC\tDelaware\t
Louis Solar MT Manager I,LLC\tDelaware\t
Louis Solar Owner I,LLC\tDelaware\t
Louis Solar Owner Manager I,LLC\tDelaware\t
Mako GB SPV Holdings,LLC\tDelaware\t
Mako GB SPV,LLC\tDelaware\t
Mako Solar Holdings,LLC\tDelaware\t
Mako Solar,LLC\tDelaware\t
Master Tenant 2008-A,LLC\tDelaware\t
Matterhorn Solar I,LLC\tDelaware\t
Maxwell Holding GmbH\t\tGermany,
Maxwell Sequoia,Inc.\t\tDelaware
Maxwell Technologies GmbH\t\tGermany,
Maxwell Technologies Hong Kong Limited\t\tHong Kong,
Maxwell Technologies,Inc.\t\tDelaware
Maxwell Technologies Korea Co.,Ltd.\t\tRepublic of Korea
Maxwell Technologies Shanghai Trading Co.,Ltd.\t\tChina
Company Name\tLocation,
Maxwell Technologies Hong Kong Limited\tHong Kong,
Maxwell Technologies,Inc.\tDelaware
Maxwell Technologies Korea Co.,Ltd.\tRepublic of Korea
Maxwell Technologies Shanghai Trading Co.,Ltd.\tChina
Maxwell Technologies Shenzhen Trading Co.,Ltd.\tChina
Megalodon Solar,LLC\tDelaware
MML Acquisition Corp.\tDelaware,
Monte Rosa Solar I,LLC\tDelaware
Mound Solar Manager V,LLC\tDelaware
Mound Solar Manager VI,LLC\tDelaware
Mound Solar Manager X,LLC\tDelaware
Mound Solar Manager XI,LLC\tDelaware
Mound Solar Manager XII,LLC\tDelaware
Mound Solar Master Tenant IX,LLC\tDelaware
Mound Solar Master Tenant V,LLC\tCalifornia
Mound Solar Master Tenant VII,LLC\tDelaware
