Exhibit Number,Exhibit Description,Form,File No.,Incorporated by Reference,Filed Herewith
4.10,"Waiver to Fifth Amended and Restated Investor's Rights Agreement, dated as of May 14, 2013, between the Registrant and certain holders of the capital stock of the Registrant named therein.",8-K,001-34756,4.2,"May 20,2013"
4.11,"Waiver to Fifth Amended and Restated Investor's Rights Agreement, dated as of August 13, 2015, between the Registrant and certain holders of the capital stock of the Registrant named therein.",8-K,001-34756,4.1,"August 19,2015"
4.12,"Waiver to Fifth Amended and Restated Investors' Rights Agreement, dated as of May 18, 2016, between the Registrant and certain holders of the capital stock of the Registrant named therein.",8-K,001-34756,4.1,"May 24,2016"
4.13,"Waiver to Fifth Amended and Restated Investors' Rights Agreement, dated as of March 15, 2017, between the Registrant and certain holders of the capital stock of the Registrant named therein.",8-K,001-34756,4.1,"March 17,2017"
4.14,"Waiver to Fifth Amended and Restated Investors' Rights Agreement, dated as of May 1, 2019, between the Registrant and certain holders of the capital stock of the Registrant named therein.",8-K,001-34756,4.1,"May 3,2019"
4.15,"Indenture, dated as of May 22, 2013, by and between the Registrant and U.S. Bank National Association.",8-K,001-34756,4.1,"May 22,2013"
4.16,"Third Supplemental Indenture, dated as of March 5, 2014, by and between the Registrant and U.S. Bank National Association.",8-K,001-34756,4.4,"March 5,2014"
4.17,"Form of 1.25% Convertible Senior Note Due March 1, 2021 (included in Exhibit 4.16).",8-K,001-34756,4.4,"March 5,2014"
4.18,"Fourth Supplemental Indenture, dated as of March 22, 2017, by and between the Registrant and U.S. Bank National Association.",8-K,001-34756,4.2,"March 22,2017"
4.19,"Form of 2.375% Convertible Senior Note Due March 15, 2022 (included in Exhibit 4.18).",8-K,001-34756,4.2,"March 22,2017"
4.20,"Fifth Supplemental Indenture, dated as of May 7, 2019, by and between Registrant and U.S. Bank National Association, related to 2.00% Convertible Senior Notes due May 15, 2024.",8-K,001-34756,4.2,"May 8,2019"
4.21,"Form of 2.00% Convertible Senior Notes due May 15, 2024 (included in Exhibit 4.20).",8-K,001-34756,4.2,"May 8,2019"
4.22,"Indenture, dated as of August 18, 2017, by and among the Registrant, SolarCity, and U.S. Bank National Association, as trustee.",8-K,001-34756,4.1,"August 23,2017"
4.23,"Form of 5.30% Senior Note due August 15, 2025.",8-K,001-34756,4.2,"August 23,2017"
