Lender,Revolving Loan Commitment,DTTP Passport Scheme ReferenceNumber
DEUTSCHEBANKAGNEWYORKBRANCH,"$275,000,000.00",07/D/70006/DTTP
"BANKOFAMERICA,N.A.","$272,000,000.00",13/B/7418
BARCLAYSBANKPLC,"$272,000,000.00",N/A
"CITIBANK,N.A.","$272,000,000.00",13/C/62301/DTTP
GOLDMAN SACHS BANK USA,"$272,000,000.00",13/G/351779/DTTP
"MORGANSTANLEYSENIORFUNDING,INC.","$272,000,00.00",13/M/227953/DTTP
"CREDITSUISSEAG,CAYMANISLANDSBRANCH","$197,500,000.00",N/A
SOCIETEGENERALES.A.-NEWYORKBRANCH,"$197,500,000.00",5/S/70085/DTTP
"WELLSFARGO BANK,NATIONAL ASSOCIATION","$197,500,000.00",13/W/61173/DTTP
BANKOFTHEWEST,"$100,000,000.00",13/B/359711/DTTP
TOTALCOMMITMENTS,"$2,327,500,000.00",
