,"December 31,","December 31,"
,2020,2019
Solar energy systems in service,"$ 6,758","$ 6,682"
Initial direct costs related to customer solar energysystem lease acquisition costs,103,102
,"6,861","6,784"
Less:accumulated depreciation and amortization (1)Solar energy systems under construction,(955),(723)
Less:accumulated depreciation and amortization (1)Solar energy systems under construction,"5,906","6,061"
Less:accumulated depreciation and amortization (1)Solar energy systems under construction,28,18
"Solar energy systems pending interconnectionSolar energy systems,net (2)",45,59
"Solar energy systems pending interconnectionSolar energy systems,net (2)","$ 5,979","$ 6,138"
