,"YearEndedDecember31,","YearEndedDecember31,","YearEndedDecember31,"
,2020 $,2019,2018
Tax at statutory federal rate,242 $,(139) $,(211)
"State tax,net of federal benefit",4,5,3
Nondeductible executive compensations,184,62,39
Other nondeductible expenses,52,32,26
Excess tax benefits related to stock based,,,
compensation,(666),(7),(44)
Foreign income rate differential U.S. tax credits,33,189,161
,(181),(107),(80)
Noncontrolling interests and redeemable,,,
noncontrolling interests adjustment,5,(29),32
GILTI inclusion,133,,
Convertible debt,,(4),
Unrecognized tax benefits,1,17,1
Change in valuation allowance Provision for income taxes,485 $ 292 $,91 110 $,131 58
