Year Ended December 31,,$2020,$2019,$2018,$2020 vs. 2019 Change,$2019 vs. 2018 Change
Cost of revenues,Automotive sales,$19,696,$15,939,"$13,686,$3,757,24%,$2,253,16%"
Automotive leasing,$563,$459,$488,$104,23%,"$(29),$(6)"
Total automotive cost of revenues,$20,259,$16,398,$14,"174,$3,861,24%,$2,224,16%"
Services and other,$2,671,$2,770,$1,"880,$(99),$(4),890,47%"
Total automotive & services and other segment cost of revenues,$22,930,$19,168,$16,"054,$3,762,20%,$3,114,19%"
Energy generation and storage segment,$1,976,$1,341,$1,"365,$635,47%,$(24),$(2)"
Total cost of revenues,$24,906,$20,509,$17,"419,$4,397,21%,$3,090,18%"
Gross profit total automotive,$6,977,$4,423,$4,"341,$2,356,54%,$1,082,25%"
Gross margin total automotive,26%,21%,23%,,,
Gross profit total automotive & services and other segment,$6,612,$3,879,$3,"852,$2,733,70%,$2,917,75%"
Gross margin total automotive & services and other segment,22%,17%,19%,,,
Gross profit energy generation and storage segment,$18,$190,$190,$172,90%,"$172,90%"
Gross margin energy generation and storage segment,1%,12%,12%,,,
Total gross profit,$6,630,$4,069,$4,"042,$2,561,63%,$2,018,50%"
Total gross margin,21%,17%,19%,,,
