Net Carrying Value,Current,Long-Term,Unpaid Principal Balance,Unused Committed Amount (1),Contractual Interest Rates,Contractual Maturity Date
Recourse debt:,,,,,,
2021 Notes,,$1,304,$1,380,",1.25%,March 2021"
2022 Notes,,$902,$978,,2.375%,March 2022
2024 Notes,,$1,383,$1,840,",2.00%,May 2024"
2025 Notes,,$1,782,$1,800,",5.3%,August 2025"
Credit Agreement,,$141,$1,586,$1,"727,$499,2.7%-4.8%,June 2020-July 2023"
Zero-Coupon Convertible Senior Notes due in 2020,,$97,$103,,0.0%,December 2020
Solar Bonds and other Loans,,$15,$70,,3.6%-5.8%,March 2020-January 2031
Total recourse debt,,$253,$7,010,$7,"898,$499,,,"
Non-recourse debt:,,,,,,
Automotive Asset-backed Notes,,$573,$997,$1,577,",2.0%-7.9%,February 2020- May 2023"
Solar Asset-backed Notes,,$32,$1,123,$1,"183,,4.0%-7.7%,September 2024-February 2048"
China Loan Agreements,,$444,$297,$741,$1,"542,3.7%-4.0%,September 2020-December 2024"
Cash Equity Debt,,$10,$430,$454,,"5.3%-5.8%,July 2033-January 2035"
Solar Loan-backed Notes,,$11,$164,$182,,"4.8%-7.5%,September 2048-September 2049"
Warehouse Agreements,,$21,$146,$167,$933,"3.1%-3.6%,September 2021"
Solar Term Loans,,$8,$152,$161,,"5.4%,January 2021"
Automotive Lease-backed Credit Facility,,$24,$16,$40,,"4.2%-5.9%,November 2022"
Solar Revolving Credit Facility and other Loans,,$23,$67,$89,$6,"4.5%-7.4%,March 2020-June 2022"
Total non-recourse debt,,$1,146,$3,392,"$4,594,$2,481,,,"
Total debt,,$1,399,$10,402,"$12,492,$2,980,,,"
Finance leases,,$386,$1,232,,","
Total debt and finance leases,,$1,785,$11,634,",,"
