Exhibit Number,Exhibit Number,Incorporatedby Reference,Incorporatedby Reference,Incorporatedby Reference,Incorporatedby Reference,
Exhibit Description 101.CAL Inline XBRL Taxonomy Extension Calculation,Exhibit Description 101.CAL Inline XBRL Taxonomy Extension Calculation,Form,File No.,Exhibit,Filing Date,
Linkbase Document.,,,,,X,
101.DEF,Inline XBRL Taxonomy Extension Definition Linkbase Document,,,,X,
101.LAB,Inline XBRL Taxonomy Extension Label Linkbase Document,,,,X,
101.PRE Document,Inline XBRL Taxonomy Extension Presentation Linkbase,,,,X,
104,Cover Page Interactive Data File (formatted as inline XBRL with applicable taxonomy extension information contained in Exhibits 101),Cover Page Interactive Data File (formatted as inline XBRL with applicable taxonomy extension information contained in Exhibits 101),,,,
* Furnished herewith,,,,,,
**,Indicates a management contract or compensatory plan or arrangement,Indicates a management contract or compensatory plan or arrangement,,,,
+,Confidential treatment has been requested for portions of this exhibit,,,,,
叶,Portions of this exhibit have been redacted in compliance with Regulation S-K Item 601(b)(10).,,,,,
(1),Indicates a filing of SolarCity,,,,,
(2),"Indicates a filing of Maxwell Technologies,Inc.","Indicates a filing of Maxwell Technologies,Inc.",,,,
ITEM16.,SUMMARY,,,,,
None,None,,,,,
