"Fontane Solar I, LLC Fotovoltaica GI 4, S.de R.L.de C.V.",Delaware Mexico
"Fotovoltaica GI 5, S.de R.L.de C.V. FP System Owner, LLC",Mexico Delaware
"FTE Solar I, LLC",Delaware Delaware
"Gambit Energy Storage,LLC",
"Grohmann Engineering Trading (Shanghai) Co.Ltd. Grohmann USA,Inc.",China
"Guilder Solar, LLC",Delaware Delaware
"Hamilton Solar, LLC",Delaware
"Hangzhou Silevo Electric Power Co., Ltd.",China
"Harpoon Solar I, LLC",Delaware
"Harpoon Solar Manager I, LLC Haymarket Holdings, LLC",Delaware
"Haymarket Manager 1,LLC",Delaware
"Haymarket Solar 1,LLC",Delaware
Hibar China Co.Ltd.,Delaware
Hibar Systems Europe GmbH,China
Hive Battery Inc.,Germany
"Ikehu Manager I, LLC",Delaware
"IL Buono Solar I, LLC",Delaware
"Iliosson, S.A. de C.V.",Delaware
"Industrial Maintenance Technologies,Inc.",Mexico
"Klamath Falls Solar 1,LLC",California
"Knight Solar Managing Member I,LLC",Delaware Delaware
"Knight Solar Managing Member II,LLC",Delaware
"Knight Solar Managing Member II,LLC",Delaware
"Landlord 2008-A, LLC",
"Louis Solar II, LLC",Delaware
"Louis Solar II, LLC",Delaware Delaware
"Louis Solar Manager II, LLC",
"Louis Solar Manager II, LLC",Delaware
"Louis Solar Master Tenant I, LLC",Delaware
"Louis Solar MT Manager I,LLC",Delaware
"Louis Solar Owner I, LLC",Delaware
"Louis Solar Owner Manager I,LLC",Delaware
"Mako GB SPV Holdings, LLC",Delaware
"Mako GB SPV, LLC",Delaware
"Mako Solar Holdings, LLC",Delaware
"Mako Solar, LLC",Delaware
"Master Tenant 2008-A,LLC",Delaware
"Matterhorn Solar I, LLC",Delaware
Maxwell Holding GmbH,Delaware
"Maxwell Sequoia, Inc.",Germany
,Delware
Maxwell Technologies GmbH,Germany
Maxwell Technologies Hong Kong Limited,Hong Kong
"Maxwell Technologies, Inc.",Delaware
