,2020,"YearEndedDecember31, 2019",2018
Weighted average shares used in computing,Weighted average shares used in computing,Weighted average shares used in computing,Weighted average shares used in computing
net income (loss) per share of common,933,887,853
"stock, basic","stock, basic","stock, basic","stock, basic"
Add:,,,
Stock-based awards,66 47,,
Convertible senior notes,Convertible senior notes,Convertible senior notes,Convertible senior notes
Warrants,37,,
Weighted average shares used in computing,Weighted average shares used in computing,Weighted average shares used in computing,Weighted average shares used in computing
"net income (loss) per share of common stock, diluted","1,083",887,853
68,68,68,68
