Signature,Title,Date
/s/ Elon Musk,Chief Executive Officer and Director (Principal Executive Officer),"February 8,2021"
/s/ Zachary J. Kirkhorn,Chief Financial Officer (Principal Financial Officer),"February 8,2021"
/s/ Vaibhav Taneja,Chief Accounting Officer (Principal Accounting Officer),"February 8,2021"
/s/ Robyn Denholm,Director,"February 8,2021"
/s/ Ira Ehrenpreis,Director,"February 8,2021"
/s/ Lawrence J. Ellison,Director,"February 8,2021"
/s/ Antonio J. Gracias,Director,"February 8,2021"
/s/ Hiromichi Mizuno,Director,"February 8,2021"
/s/ James Murdoch,Director,"February 8,2021"
/s/ Kimbal Musk,Director,"February 8,2021"
,,
,,
