SECTIONSECTION1.DEFINITIONS AND ACCOUNTING TERMS,SECTIONSECTION1.DEFINITIONS AND ACCOUNTING TERMS,Page 1
1.01.,Defined Terms,1
1.02.,Other Definitional Provisions,5778
1.03.,Rates,78
SECTIONSECTION 2. AMOUNT AND TERMS OF CREDIT,SECTIONSECTION 2. AMOUNT AND TERMS OF CREDIT,5879
2.01.,,
,The Commitments,5879
2.02. 2.03.,Minimum Amount of Each Borrowing,6283
2.04.,Notice of Borrowing Disbursement of Funds,6283
2.05.,Notes,6384
2.06.,Conversions,6485 6486
2.07.,Pro Rata Borrowings,6586
2.08.,Interest,6586
2.09.,Interest Periods,6687
2.10.,"Increased Costs,Illegality,etc",
2.11.,Compensation,6788
2.12.,Lending Offices and Afiliate Lenders for Loans in Available Currency,6994
2.13.,,7095
2.14.,Replacement ofLenders,7095
2.15.,Incremental Commitments,7297
2.16.,Defaulting Lenders,7398
,[Reserved],75101
2.17.,[Reserved],75101
2.18.,The Company as Agent for Borrowers,75101
2.19.,Extension of Revolving Loan Commitments,76101
SECTIONSECTION 3. LETTERS OF CREDIT,SECTIONSECTION 3. LETTERS OF CREDIT,78104
3.01.,Letters of Credit,
3.02.,Maximum Letter of Credit Outstandings; Currencies; Final Maturities; Collateralized Letters of,78104
,Credit,79105
3.03.,Letter of Credit Requests,80106
3.04.,Letter of Credit Participations,81107
3.05. 3.06.,Agreement to Repay Letter of Credit Drawings,83108
3.07.,Increased Costs Extended Revolving Loan Commitments,84110
3.08.,Conflict,85111
,SECTIONSECTION 4.COMMITMENT COMMISSION; FEES; REDUCTIONS OF COMMITMENT,85111 85112
4.01.,Fees,86112
4.02. 4.03.,Voluntary Termination of Revolving Loan Commitments Mandatory Reduction of Commitments,86113
SECTIONSECTION,5.PREPAYMENTS;PAYMENTS;TAXES,87113
,,87114
5.01. Voluntary Prepayments,5.01. Voluntary Prepayments,87114
5.02.,Mandatory Repayments;Cash Collateralization,88115 90117
5.03.,Method and Place of Payment,
5.04. Net Payments,,93121 97125
SECTIONSECTION 6. CONDITIONS PRECEDENT TO CREDIT EVENTS ON THE EFFECTIVE DATE,SECTIONSECTION 6. CONDITIONS PRECEDENT TO CREDIT EVENTS ON THE EFFECTIVE DATE,SECTIONSECTION 6. CONDITIONS PRECEDENT TO CREDIT EVENTS ON THE EFFECTIVE DATE
6.01.,Effective Date;Notes,97125
6.02.,Officer's Certificate,97125
6.03.,Opinions of Counsel,98125
6.04.,Company Documents; Proceedings; etc,98126
6.05.,,98126
6.06.,Adverse Change; Approvals,99126
6.07.,[Reserved],99127
6.08.,Guaranty [Reserved],99127
6.09.,Security Agreement,99127
6.10.,Financial Statements,99127
6.11.,Solvency Certificate;Insurance Certificates,100127
6.12.,"Fees,Expenses",100128
6.13.,,100128
6.14.,Initial Borrowing Base Certificate; Outstanding Indebtedness,
6.15.,Appraisals;Field Examinations Patriot Act,100128 100128
SECTIONSECTION 7.CONDITIONS PRECEDENTTO ALL CREDITEVENTS,SECTIONSECTION 7.CONDITIONS PRECEDENTTO ALL CREDITEVENTS,SECTIONSECTION 7.CONDITIONS PRECEDENTTO ALL CREDITEVENTS
7.01.,,101129
7.02.,No Default; Representations and Warranties,101129
7.03.,Notice of Borrowing; Letter of Credit Request,101129
7.04.,Borrowing Limitations,101129
