,Signature,Title Date,Title Date,Title Date,Title Date,,
,/s/Elon Musk,Chief Executive Oficer and Director (Principal Executive Officer)Chief Financial Officer (Principal Financial Officer),Chief Executive Oficer and Director (Principal Executive Officer)Chief Financial Officer (Principal Financial Officer),Chief Executive Oficer and Director (Principal Executive Officer)Chief Financial Officer (Principal Financial Officer),"February 8,2021February 8,2021February 8,2021",,
,Elon Musk/s/Zachary J.Kirkhorn,Chief Executive Oficer and Director (Principal Executive Officer)Chief Financial Officer (Principal Financial Officer),Chief Executive Oficer and Director (Principal Executive Officer)Chief Financial Officer (Principal Financial Officer),Chief Executive Oficer and Director (Principal Executive Officer)Chief Financial Officer (Principal Financial Officer),"February 8,2021February 8,2021February 8,2021",,
,ZacharyJ.Kirkhorn/s/Vaibhav Taneja,,,,"February 8,2021February 8,2021February 8,2021",,
,ZacharyJ.Kirkhorn/s/Vaibhav Taneja,Chief Accounting Officer (Principal Accounting Officer),Chief Accounting Officer (Principal Accounting Officer),Chief Accounting Officer (Principal Accounting Officer),"February 8,2021February 8,2021February 8,2021","February 8,2021",
,Vaibhav Taneja/s/Robyn Denholm,,,"Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021","Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021",,
,Vaibhav Taneja/s/Robyn Denholm,Director,Director,Director,"Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021",,
,Robyn Denholm,Director,Director,Director,"Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021",,
,/s/ Ira Ehrenpreis,Director,Director,Director,"Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021",,
,Ira Ehrenpreis,,,,"Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021",,
,/s/Lawrence J.Ellison,DirectorDirector,DirectorDirector,DirectorDirector,"Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021",,
,Lawrence J. Ellison,DirectorDirector,DirectorDirector,DirectorDirector,"Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021",Director,Director
,/s/Antonio J.Gracias,DirectorDirector,DirectorDirector,DirectorDirector,"Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021Director February 8,2021",Director,Director
,Antonio J.Gracias,,,,,,
,/s/Hiromichi Mizuno,Director,Director,,,,
,Hiromichi Mizuno,,,,,,
,/s/ James Murdoch,Director,Director,,,,
,James Murdoch,,,,,,
,/s/ Kimbal Musk,Director,Director,,,,
,Kimbal Musk/s/Kathleen Wilson-Thompson,,,,,,
Kathleen Wilson-Thompson,Kathleen Wilson-Thompson,,,,,,
