Name of Subsidiary,Jurisdiction of Incorporation or Organization
"Allegheny Solar 1, LLC",Delaware
"Allegheny Solar Manager 1, LLC",Delaware
"Ancon Holdings II, LLC",Delaware
"Ancon Holdings III, LLC",Delaware
"Ancon Holdings, LLC",Delaware
Ancon Solar Corporation,Delaware
"Ancon Solar I, LLC",Delaware
"Ancon Solar II Lessee Manager, LLC",Delaware
"Ancon Solar II Lessee, LLC",Delaware
"Ancon Solar II Lessor, LLC",Delaware
"Ancon Solar III Lessee Manager, LLC",Delaware
"Ancon Solar III Lessee, LLC",Delaware
"Ancon Solar III Lessor, LLC",Delaware
"Ancon Solar Managing Member I, LLC",Delaware
"Arpad Solar Borrower, LLC",Delaware
"Arpad Solar I, LLC",Delaware
"Arpad Solar Manager I, LLC",Delaware
"AU Solar 1, LLC",Delaware
"AU Solar 2, LLC",Delaware
"Banyan SolarCity Manager 2010, LLC",Delaware
"Banyan SolarCity Owner 2010, LLC",Delaware
"Basking Solar I, LLC",Delaware
"Basking Solar II, LLC",Delaware
"Basking Solar Manager II, LLC",Delaware
"Beatrix Solar I, LLC",Delaware
"Bernese Solar Manager I, LLC",Delaware
"Blue Skies Solar I, LLC",Delaware
"Blue Skies Solar II, LLC",Delaware
"Caballero Solar Managing Member I, LLC",Delaware
"Caballero Solar Managing Member II, LLC",Delaware
"Caballero Solar Managing Member III, LLC",Delaware
"Cardinal Blue Solar, LLC",Delaware
"Castello Solar I, LLC",Delaware
"Castello Solar II, LLC",Delaware
"Castello Solar III, LLC",Delaware
"Chaparral SREC Borrower, LLC",Delaware
"Chaparral SREC Holdings, LLC",Delaware
"Chompie Solar I, LLC",Delaware
"Chompie Solar II, LLC",Delaware
"Chompie Solar Manager I, LLC",Delaware
"Chompie Solar Manager II, LLC",Delaware
"Clydesdale SC Solar I, LLC",Delaware
"Colorado River Project, LLC",Delaware
"Community Solar Partners, LLC",Delaware
Compass Automation Incorporated,Illinois
"Dom Solar General Partner I, LLC",Delaware
"Dom Solar Lessor I, LP",Cayman Islands
Dom Solar Ltd.,Cayman Islands
"Dom Solar Limited Partner I, LLC",Delaware
"Eiger Lease Co, LLC",Delaware
