,2020,2020,"YearEndedDecember31, 2019 (3) 2018 (2)","YearEndedDecember31, 2019 (3) 2018 (2)","YearEndedDecember31, 2019 (3) 2018 (2)","YearEndedDecember31, 2019 (3) 2018 (2)",,
Consolidated Statements of Operations Data:,,,"24,578",,,$,"11,759",
Total revenues,$,"31,536",,$,"21,461",,,"7,000"
Gross profit,$,"6,630",,"4,069 $","4,042",$,"2,223 $","1,599"
Income (loss from operations,$,"1,994",$,(69）$,(388）$,,"(1,632)$",(667)
Net income (loss) attributable to common stockholders,$,721,,(862)$,(976),$,"(1,962) $",(675)
Net income (loss) per share of,,,,,,,,
common stock attributable to,,,,,,,,
common stockholders (4),,,,,,,,
Basic,$,0.74$,,(0.98)$,(1.14)$,,(2.37)$,(0.94)
Diluted,$,0.64$,,(0.98)$,(1.14)$,,(2.37)$,(0.94)
Weighted average shares used in,,,,,,,,
computing net income (loss) per share of common stock (4),,,,,,,,
Basic,,933,,887,853,,829,721
,,,,887,,,829,
Diluted,,"1,083",,,853,,,721
