Name of Subsidiary,Jurisdiction of Incorporation or Organization
"Allegheny Solar1,LLC",Delaware
"Allegheny Solar Manager1,LLC",Delaware
"Ancon Holdings II,LLC",Delaware
"Ancon Holdings III, LLC",Delaware
"Ancon Holdings,LLC",Delaware
Ancon Solar Corporation,Delaware
"Ancon Solar I, LLC",Delaware
"Ancon Solar II Lessee Manager, LLC",Delaware
"Ancon Solar II Lessee,LLC Ancon Solar II Lessor,LLC",Delaware
"Ancon Solar II Lessee Manager, LLC",Delaware
"Ancon Solar III Lessee,LLC",Delaware
"Ancon Solar III Lessor, LLC",Delaware
"Ancon Solar Managing Member I, LLC",Delaware
"Arpad Solar Borrower,LLC",Delaware
"Arpad Solar I,LLC",Delaware Delaware
"Arpad Solar Manager I, LLC",Delaware
"AU Solar 1,LC",Delaware
"AU Solar 2,LLC Banyan SolarCity Manager 2010,LLC",Delaware
"Banyan SolarCity Owner 2010,LLC",Delaware
"Basking Solar I,LLC",Delaware
"Basking Solar II, LLC",Delaware
"Basking Solar Manager II,LLC",Delaware
"Beatrix Solar I, LLC",Delaware
"Bernese Solar Manager I, LLC",Delaware
"Blue Skies Solar I, LLC",Delaware
"Blue Skies Solar II,LLC",Delaware
"Caballero Solar Managing Member I, LLC",Delaware
"Caballero Solar Managing Member II,LLC",Delaware
"Caballero Solar Managing Member III,LLC",Delaware
"Cardinal Blue Solar, LLC",Delaware
"Castello Solar I, LLC",Delaware
"Castello Solar II, LLC",Delaware
"Castello Solar III, LLC",Delaware
"Chaparral SREC Borrower, LLC",Delaware
,Delaware
"Chaparral SREC Holdings, LLC",Delaware
"Chompie Solar I,LLC",Delaware
"Chompie Solar II, LC",
"Chompie Solar Manager I,LLC",Delaware Delaware
"Chompie Solar Manager II, LLC",
"Clydesdale SC Solar I, LLC",Delaware
"Colorado River Project,LLC",Delaware
"Community Solar Partners, LLC",Delaware
Compass Automation Incorporated,Delaware
,Illinois
"Dom Solar General Partner I, LLC",Delaware
"Dom Solar Lessor I, LP",Cayman Islands
Dom Solar Ltd.,Cayman Islands
"Dom Solar Limited Partner I, LLC Eiger Lease Co,LLC",Delaware
"Falconer Solar Manager I,LLC",Delaware
"Firehorn Solar I, LLC",Cayman Islands
"Firehorn Solar Manager I, LLC",Delaware
"FocalPoint Solar Borrower,LLC",Delaware
"FocalPoint Solar I, LLC",Delaware
"FocalPoint Solar Manager I, LLC",Delaware
