SECTION,SECTION,1. DEFINITIONS AND ACCOUNTING TERMS,,Page,1
1.01.,Defined Terms,1,,57,78
1.02.,Other Definitional Provisions,1,,78,78
1.03.,Rates,1,,58,79
SECTION,SECTION,2. AMOUNT AND TERMS OF CREDIT,58,79,
2.01.,The Commitments,58,62,79,83
2.02.,Minimum Amount of Each Borrowing,,,62,83
2.03.,Notice of Borrowing,,,62,83
2.04.,Disbursement of Funds,63,,84,
2.05.,Notes,64,,85,
2.06.,Conversions,64,,86,86
2.07.,Pro Rata Borrowings,65,,86,
2.08.,Interest,65,,86,
2.09.,Interest Periods,66,,87,
2.10.,"Increased Costs, Illegality, etc",67,,88,
2.11.,Compensation,69,,94,
2.12.,Lending Offices and Affiliate Lenders for Loans in Available Currency,70,,95,
2.13.,,Replacement of Lenders,70,95,
2.14.,Incremental Commitments,72,,97,
2.15.,Defaulting Lenders,73,,98,
2.16.,[Reserved],75,,101,
2.17.,[Reserved],75,,101,
2.18.,The Company as Agent for Borrowers,75,,101,
2.19.,Extension of Revolving Loan Commitments,76,,101,
SECTION,SECTION,3. LETTERS OF CREDIT,78,104,
3.01.,Letters of Credit,79,,105,
3.02.,Maximum Letter of Credit Outstandings; Currencies; Final Maturities; Collateralized Letters of Credit,80,,106,
3.03.,Letter of Credit Requests,81,,107,
3.04.,Letter of Credit Participations,83,,108,
3.05.,Agreement to Repay Letter of Credit Drawings,84,,110,
3.06.,Increased Costs,85,,111,
3.07.,Extended Revolving Loan Commitments,85,,111,
3.08.,Conflict,86,,112,
SECTION,SECTION,4. COMMITMENT COMMISSION; FEES; REDUCTIONS OF COMMITMENT,86,112,
4.01.,Fees,86,,113,
4.02.,Voluntary Termination of Revolving Loan Commitments,87,,113,
4.03.,Mandatory Reduction of Commitments,87,,114,
SECTION,SECTION,5. PREPAYMENTS; PAYMENTS; TAXES,87,114,
5.01.,Voluntary Prepayments,87,,114,
