"December 31, 2017 $ 199","December 31, 2017 $ 199",
Decreases in balances related to prior year tax positions (6),Decreases in balances related to prior year tax positions (6),
Increases in balances related to current year taxpositions,,
Increases in balances related to current year taxpositions,60,
"December 31,2018",253,
Decreases in balances related to prior year tax positions,(39),
Increases in balances related to current year taxpositions,,
Increases in balances related to current year taxpositions,59,
"December 31, 2019",273,
Increases in balances related to prior year tax positions,66,
"Increases in balances related to current year taxpositionsDecember 31,2020",41,
"Increases in balances related to current year taxpositionsDecember 31,2020",41,41
"Increases in balances related to current year taxpositionsDecember 31,2020",$ 380,
