Model,Spanish,Dutch,German,Extra Resources
Täckström et al. (2012),59.30,58.40,40.40,parallel corpus
Nothman et al. (2013),61.0,64.00,55.80,Wikipedia
Tsai et al. (2016),60.55,61.60,48.10,Wikipedia
Ni et al. (2017),65.10,65.40,58.50,"Wikipedia, parallel corpus, 5K dict."
Mayhew et al. (2017),65.95,66.50,59.11,"Wikipedia, 1M dict."
Mayhew et al. (2017) (only Eng. data),51.82,53.94,50.96,1M dict.
BWET (id.c.),71.14 ± 0.60,70.24 ± 1.18,57.03 ± 0.25,--
BWET (id.c.) + self-att.,72.37 ± 0.65,70.40 ± 1.16,57.76 ± 0.12,--
BWET (adv.),70.54 ± 0.85,70.13 ± 1.04,55.71 ± 0.47,--
BWET (adv.) + self-att.,71.03 ± 0.44,71.25 ± 0.79,56.90 ± 0.76,--
BWET,71.33 ± 1.26,69.39 ± 0.53,56.95 ± 1.20,10K dict.
BWET + self-att.,71.67 ± 0.86,70.90 ± 1.09,57.43 ± 0.95,10K dict.
BWET on data from Mayhew et al. (2017),66.53 ± 1.12,69.24 ± 0.66,55.39 ± 0.98,1M dict.
BWET + self-att. on data from Mayhew et al. (2017),66.90 ± 0.65,69.31 ± 0.49,55.98 ± 0.65,1M dict.
Our supervised results,86.26 ± 0.40,86.40 ± 0.17,78.16 ± 0.45,annotated corpus
