Fourth,Third,Second,First,Fourth,Third,Second,First
(Dollars in millions),(Dollars in millions),,,(Dollars in millions),(Dollars in millions),,
Reconciliation of average shareholders' equity to average tangible shareholders',,,,,,,
equity Shareholders' equity,"$ 271,020","$ 267,323","$ 266,316","$ 264,534","$ 266,900","$ 270,430","$ 267,975,$ 266,217"
Goodwill,"(68,951)","(68,951)","(68,951)","(68,951)","(68,951)","(68,951)","(68,951),(68,951)"
Intangible assets (excluding MSRs),"(2,173)","(1,976)","(1,640)","(1,655)","(1,678)","(1,707)","(1,736),(1,763)"
Related deferred tax liabilities,"910,855","790,728","730,752",,"770,841",,
Tangible shareholders' equity,"$ 200,806","$ 197,251","$ 196,515",,,"$ 198,058,$ 196,344",
Preferred stock,"(24,180)","(23,427)","(23,427)","(23,456)","(23,461)","(23,800)","(22,537),(22,326)"
Tangible common shareholders' equity,"$ 176,626","$ 173,824","$ 173,088","$ 171,200","$ 173,540","$ 176,724","$ 175,521,$ 174,018"
Reconciliation of period-end shareholders' equity to period-end tangible shareholders',,,,,,,
equity Shareholders' equity,"$ 272,924","$ 268,850","$ 265,637","$ 264,918","$ 264,810","$ 268,387","$ 271,408,$ 267,010"
Goodwill,"(68,951)","(68,951)","(68,951)","(68,951)","(68,951)","(68,951)","(68,951),(68,951)"
Intangible assets (excluding MSRs),"(2,151)","(2,185)","(1,630)","(1,646)","(1,661)","(1,690)","(1,718),(1,747)"
Related deferred tax liabilities,"920,910","789,790","713,734",,"756,773",,
Tangible shareholders' equity,"$ 202,742","$ 198,624","$ 195,845",,,"$ 201,495,$ 197,085",
Preferred stock,"(24,510)","(23,427)","(23,427)","(23,427)","(23,401)","(23,606)","(24,689),(22,326)"
Tangible common shareholders' equity,"$ 178,232","$ 175,197","$ 172,418",,,"$ 176,806,$ 174,759",
Reconciliation of period-end assets to period-end tangible assets,,,,,,,
Assets,"$ 2,819,627","$ 2,738,452","$ 2,741,688","$ 2,619,954","$ 2,434,079","$ 2,426,330","$ 2,395,892,$ 2,377,164"
Goodwill,"(68,951)","(68,951)","(68,951)","(68,951)","(68,951)","(68,951)","(68,951),(68,951)"
Intangible assets (excluding MSRs),"(2,151)","(2,185)","(1,630)","(1,646)","(1,661)","(1,690)","(1,718),(1,747)"
Related deferred tax liabilities,"920,910","789,790","713,734",,"756,773",,
Tangible assets,"$ 2,749,445","$ 2,668,226","$ 2,671,896",,,"$ 2,325,979,$ 2,307,239",
