"Segments'total revenue,net of interest expense",2020,2020,2018,2018
"Segments'total revenue,net of interest expense","$ 89,599",2019 $,"94,222 $","93,255"
Adjustments (1):,,,,
ALM activities,,375,241,(325)
"Liquidating businesses,eliminations and other",,"(3,947)","(2,624)","(1,300)"
FTE basis adjustment,,(499),(595),(610)
"Consolidatedrevenue,netof interest expense","$ 85,528",$,"91,244 $","91,020"
Segments'total net income,"18,301",,"28,786","28,403"
"Adjustments,net-of-tax():",,,,
ALM activities,,279,202,(222)
"Liquidating businesses, eliminations and other",,(686),"(1,558)",(34)
Consolidated net income,$,"17,894 $","27,430 $","28,147"
