December 31,2020,2019,2018,2017,2016
(Dollars in millions),Consumer,Residential mortgage (2),$762,"$1,088","$1,884,$3,230,$4,793"
,Credit card,903,"1,042",994,"900,782"
,Non-U.S. credit card,-,-,-,"-,66"
,Direct/Indirect consumer,33,33,38,"40,34"
,Other consumer,-,-,-,"-,4"
,Total consumer,"1,698","2,163","2,916","4,170,5,679"
,Commercial,U.S. commercial,228,106,"197,144,106"
,Non-U.S. commercial,10,8,-,"3,5"
,Commercial real estate,6,19,4,"4,7"
,Commercial lease financing,25,20,29,"19,19"
,U.S. small business commercial,115,97,84,"75,71"
,Total commercial,384,250,314,"245,208"
,Total accruing loans and leases past due 90 days or more,"$2,082","$2,413","$3,230","$4,415,$5,887"
