,Bank of America Corporation,Bank of America Corporation,Bank of America Corporation,"Bank of America, N.A.","Bank of America, N.A.","Bank of America, N.A.",,
,"Standardized Approach (1,2)",Advanced Approaches(1),Regulatory Minimum (3),Standardized Approach (1.2),Advanced Approaches (1),Regulatory Minimum (4),,
"(Dollars in millions, except as noted)","December31,2020","December31,2020","December31,2020","December31,2020","December31,2020","December31,2020",,
Risk-based capital metrics:,,,,,,,,
Common equity tier1 capital,"$176,660","$176,660","$164,593","$164,593","$164,593",,,
Tier 1 capital,"200,096","200,096","164,593","164,593","164,593",,,
Total capital (5),"237,936","227,685","181,370 1,221","181,370 1,221","170,922",,,
Risk-weighted assets (in billions),"1,480","1,371",,,"1,014",7.0%,,
Common equity tier1 capital ratio,11.9 %,12.9%,9.5%,9.5%,16.2%,8.5,,
Tier1 capital ratio,13.5,14.6,11.0,11.0,16.2,10.5,,
Total capital ratio,16.1,16.6,13.0,14.9,16.9,,,
Leverage-based metrics:,,,,,,,,
Adjusted quarterlyaverageassets (inbillins) (6) Tier1 leverage ratio,"2,719 7.4%","$ 2,719 7.4 %",4.0,"$ 2,143",$,"2,143 7.7%",5.0,
,,"2,786",,,7.7%,"2,525",,
Supplementary leverageexposure (in billons)(7) Supplementary leverage ratio,$,$,,,$,$,,
,,7.2 %,5.0,,,6.5%,6.0,
Risk-based capital metrics:,"December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019",
Common equity tier1 capital,"$166,760","$166,760","$166,760","$166,760","$166,760","$166,760","$166,760","$166,760"
Tier 1 capital,"188,492","$166,760 188,492","$166,760 188,492","$154,626 154,626","$154,626 154,626","$154,626","$154,626",
Total capital (5),"221,230","213,098",,"166,567","166,567","154,626",,
Risk-weighted assets (in billions),"1,493","1,447",,"1,241","1,241","158,665 991",,
Common equity tier 1 capital ratio,11.2 %,11.5%,,12.5%,12.5%,15.6%,7.0%,
,12.6,13.0,,9.5%,9.5%,15.6,8.5,
Tier 1 capital ratio Total capital ratio,14.8,14.7,,11.0 13.0,12.5,,10.5,
,,,,,13.4,16.0,,
Leverage-based metrics:,,,,,,,,
Adjusted quarterly average assets (in billions) (6) Tier1 leverage ratio,"2,374",$,"2,374 7.9%",$ 4.0,"1,780","$ 1,780",5.0,
,7.9%,,,,8.7%,8.7%,,
Supplementary leverage exposure (in billions),,"$ 2,946",,,,"2,177",,
Supplementary leverage ratio,,6.4%,,5.0,,7.1 %,6.0,
