Market making and similar activities,Other Income,Total
Loans reported as trading account assets,$107,$107
Trading inventoryother(1),"3,216","3,216"
Consumer and commercial loans,,(3) 19
Loans held-for-sale (2),,103
Short-term borrowings,-170,1
Unfunded loan commitments,,-65
Long-term debt (3),"(2,175)",(53)
Other(4),35,(22)
Total,"1,035$",(40)
Loans reported as trading account assets Tradinginventory-other(),,$203
Consumer and commercial loans,,
Loans held-for-sale (2),,12 98
Short-term borrowings,,-
Unfunded loan commitments,,(24)
Long-term debt (3),"(1,098)",79
Other(4),,(78) (27)
Total,$84$,"5,061"
Loans reported as trading account assets Trading inventory-other(),"4,977$",
Consumer and commercial loans,,8$
Loans held-for-sale (2),(53),"1,750 (475)"
Short-term borrowings,24,25
Unfunded loan commitments,,-
Long-term debt (3),"2,157$",(93)
Other (4),,18
Total,$,-153$
