,,TermLoansby OriginationYear,TermLoansby OriginationYear,TermLoansby OriginationYear,TermLoansby OriginationYear,TermLoansby OriginationYear,TermLoansby OriginationYear,TermLoansby OriginationYear,TermLoansby OriginationYear,
,,Total as of,Total as of,,,,,,,
,,"December 31, 2020",2020,2019,,2018,2017,2016,,
(Dollars in millions) Total Residential Mortgage,,,,,,,,,Prior,
Refreshed LTV,,,,,,,,,,
Less than or equal to 90 percent,"$207,389",$,"68,907","43,771","$ 14,658",$,"21,589 $","22,967","35,497",
Greater than 9O percent but less than or equal to 100,,"3,138","1,970",684,,,,96,190,
percent Greater than 100 percent,,"1,210",702,174,,128 47,70 39,37,211,
Fully-insured loans,"11,818",,"3,826","2,014",370,,342,"1,970","3,296",
Total Residential Mortgage,"$ 223,555",$,"75,405","46,643","$ 15,203",$,"22,040 $","25,070","39,194",
Total Residential Mortgage,,,,,,,,,,
Refreshed FICO score Less than 620,,,,,$,139,,,,
,$,"2,717 $ 5,462","823 1,804",177,,$,170 $ 385,150,"1,258",
Greater than or equal to 62O and less than 680 Greater than or equal to 680 and less than 740,,"25,349","8,533","666 4,679","468 1,972",,"2,427","368 2,307","1,771 5,431",
,"178,209",,"60,419","39,107","12,254",,"18,716","20,275","27,438",
Greater than or equal to 740 Fully-nsured loans,,"11,818","3,826","2,014",370,,342,"1,970","3,296",
TotalResidentialMortgage,,"$223,555 $","75,405$",,,"46,643$15,203$22,040$2",,"25,070$","39,194",
