THEME,METRIC,RESPONSE,External Hires
Employment and wealth generation,Absolute number and rate of employment:,External Hires,
,"1. Total number and rate of new employee hires during the reporting period, by age group, gender, other indicators of diversity and region.",Diversity,Region
,"2. Total number and rate of employee turnover during the reporting period, by age group, gender, other indicators of diversity and region.",Diversity,Region
External Hires,Female,51%,84%
External Hires,POC,59%,12%
External Hires,Black/,,3%
External Hires,African American,,0%
External Hires,Hispanic/Latino,,0%
External Hires,Total,7%,7%
External Hires,Female,6%,5%
External Hires,POC,7%,5%
External Hires,Black/,,4%
External Hires,African American,,4%
External Hires,Hispanic/Latino,,4%
POC,7%,EMEA,5%
Black/,,LATAM,4%
African American,7%,Canada,4%
Hispanic/Latino,7%,,
