Amortized Cost,Gross Unrealized Gains,Gross Unrealized Losses,Fair Value
Available-for-sale debt securities,,,
Mortgage-backed securities:,,,
Agency,"$59,518$","2,370$",(39)
Agency-collateralized mortgage obligations,"5,112",161,(13)
Commercial,"15,470","1,025",(4)
Non-agency residential (1),899,127,(17)
Total mortgage-backed securities,"80,999","3,683",(73)
U.S. Treasury and agency securities,"114,157","2,236",(13)
Non-U.S. securities,"14,009",15,(7)
"Other taxable securities, substantially all asset-backed securities","2,656",61,(6)
Total taxable securities,"211,821","5,995",(99)
Tax-exempt securities,"16,417",389,(32)
Total available-for-sale debt securities (3),"228,238","6,384",(131)
Other debt securities carried at fair value (2),"11,720",429,(39)
Total debt securities carried at fair value,"239,958","6,813",(170)
"Held-to-maturity debt securities, substantially all U.S. agency mortgage-backed securities (3,4)","438,279","10,095",(194)
Total debt securities,"678,237","16,908",(364)
Available-for-sale debt securities,,,
Mortgage-backed securities:,,,
Agency,"$121,698$","1,013$",(183)
Agency-collateralized mortgage obligations,"4,587",78,(24)
Commercial,"14,797",249,(25)
Non-agency residential (1),948,138,(9)
Total mortgage-backed securities,"142,030","1,478",(241)
U.S. Treasury and agency securities,"67,700","1,023",(195)
Non-U.S. securities,"11,987",6,(2)
"Other taxable securities, substantially all asset-backed securities","3,874",67,
Total taxable securities Tax-exempt securities,"225,591",2.574,(438)
,"17,716",202,(6)
Total available-for-sale debt securities Other debt securities carried at fair value (2),"243,307","2,776",(444)
Total debt securitiescarried at fair value,"10,596",255,(23)
,"253,903","3,031",(467)
"Held-to-maturitydebt securities,substantiallyall U.S.agency mortgage-backed securities","215,730","4,433",(342)
"Total debt securities 3, 4)","$469,633$","7,464$",(809)$
