Weighted-average Rate,Interest Rates,Maturity Dates,December 31,December 31
Notes issued by Bank of America Corporation (1) Senior notes:,3.05 %,0.25 - 8.05 %,2021 - 2051,"$174,385,$140,265"
Fixed,0.74,0.09 - 4.96,2021 - 2044,"16,788"
Floating,,,,"17,033"
Senior structured notes Subordinated notes:,4.89,2.94 - 8.57,2021 - 2045,"23,337"
Fixed,1.15,0.88 - 1.41,2022 - 2026,799
Junior subordinated notes:,,,,
Floating,6.71,6.45 - 8.05,2027 - 2066,738
Fixed,1.03,1.03,2056,1
"Total notes issued by Bank of America Corporation Notes issued by Bank of America, N.A.",,,,"233,081"
Senior notes:,3.34,3.34,2023,511
Fixed,0.33,0.28 - 0.49,2021 - 2041,"2,323"
Floating,,,,"1,883"
Subordinated notes,6.00,6.00,2036,
Advances from Federal Home Loan Banks:,0.99,,,599
Fixed Floating,,0.01 - 7.72,2021 - 2034,
,,,,1
Securitizations and other BANA VIEs (2),,,,"6,296"
Other,,,,"683 12,295"
"Total notesissued by Bankof America,N.A.",,,,
Other debt Structured liabilities,,,,"16,792"
Nonbank VIEs(2),,,,757
Other,,,,9
Total notes issued by nonbank and other entities,,,$,"17,558"
Total long-term debt,,,,"262,934"
