(Dollars in milions),"December 31,2020","December 31,2020","December 31,2020","December 31,2020","December 31,2019","December 31,2019"
,,Level 2,Level3,,Level 2,Level 3
Assets,,,,,,
Loans held-for-sale,$,"1,020",$,792$,53,102
Loans and leases (1),,,1,301,一,257
"Foreclosed properties (2,3)",,,一,17,,17
Other assets,,323,,576,178,646
,,,,,Gains (Losses),
,,,2020,,2019,2018
Assets,,,,,,
Loans held-for-sale,,,$,(79)$,(14）$,(18)
Loans and leases (1),,,,(73),(81),(202)
Foreclosed properties,,,,(6),(9),(24)
Other assets,,,,(98),"(2,145)",(64)
