Less than One Year,One to Three Years,Three to Five Years,Over Five Years,Total
$(Dollars in millions),Carrying Value,,,
Credit default swaps:,,,,
Investment grade,$,$,$,"$,$"
Non-investment grade,26,233,364,"1,163,1,786"
Total,26,234,399,"1,257,1,916"
Total return swaps/options:,,,,
Investment grade,21,4,$,"$,25"
Non-investment grade,345,$,$,"$,345"
Total,366,4,$,"$,370"
Total credit derivatives,$,$,$,"$,$,2,286"
Credit-related notes:,,,,
Investment grade,$,$,$,"$,572"
Non-investment grade,64,2,10,"947,1,023"
Total,64,2,10,"1,519,1,595"
Maximum Payout/Notional,,,,
Credit default swaps:,,,,
Investment grade,$,$,$,"$,$,213,245"
Non-investment grade,"13,664","28,770","35,978","9,852,88,264"
Total,"47,138","104,501","123,196","26,674,301,509"
Total return swaps/options:,,,,
Investment grade,"30,961","1,061",77,"$,32,099"
Non-investment grade,"36,128",364,27,"5,36,524"
Total,"67,089","1,425",104,"5,68,623"
Total credit derivatives,$,$,$,"$,$,370,132"
$(Dollars in millions),Carrying Value,,,
Credit default swaps:,,,,
Investment grade,$,$,$,"$,$"
Non-investment grade,70,292,561,"808,1,731"
Total,70,297,621,"972,1,960"
Total return swaps/options:,,,,
Investment grade,35,$,$,"$,35"
Non-investment grade,344,$,$,"$,344"
Total,379,$,$,"$,379"
Total credit derivatives,$,$,$,"$,$,2,339"
Credit-related notes:,,,,
Investment grade,$,$,$,"$,639"
Non-investment grade,6,2,1,"1,125,1,134"
Total,6,5,2,"1,764,1,777"
Maximum Payout/Notional,,,,
Credit default swaps:,,,,
Investment grade,$,$,$,"$,$,212,693"
Non-investment grade,"19,049","26,521","29,618","12,337,87,525"
Total,"74,876","94,359","100,938","30,045,300,218"
Total return swaps/options:,,,,
Investment grade,"56,488",$,$,"$,56,626"
Non-investment grade,"28,707",657,104,"60,29,528"
Total,"85,195",657,166,"136,86,154"
Total credit derivatives,$,$,$,"$,$,386,372"
$(Dollars in millions),Carrying Value,,,
Credit default swaps:,,,,
Investment grade,$,$,$,"$,$"
Non-investment grade,$,$,$,"$,229"
Total,$,$,$,"$,229"
Total return swaps/options:,,,,
Investment grade,$,$,$,"$,35"
Non-investment grade,$,$,$,"$,344"
Total,$,$,$,"$,379"
Total credit derivatives,$,$,$,"$,$,2,339"
Credit-related notes:,,,,
Investment grade,$,$,$,"$,639"
Non-investment grade,$,$,$,"$,1,134"
Total,$,$,$,"$,1,777"
Maximum Payout/Notional,,,,
Credit default swaps:,,,,
Investment grade,$,$,$,"$,$,212,693"
Non-investment grade,$,$,$,"$,88,264"
Total,$,$,$,"$,$,301,509"
Total return swaps/options:,,,,
Investment grade,$,$,$,"$,56,626"
Non-investment grade,$,$,$,"$,36,524"
Total,$,$,$,"$,$,86,154"
Total credit derivatives,$,$,$,"$,$,386,372"
