(Dollars in millions),2021,2022,2023,2024,2025,Thereafter,Total
(Dollars in millions),,,2023,2024,2025,Thereafter,Total
Bank of America Corporation,"8,888 $","15,380","23,872","21,407","15,723","105,903",$
Senior notes,,,,,549,"13,194","191,173"
Senior structured notes,469,"2,034",597,190,,,"17,033"
Subordinated notes,371,393,1,"3,351","5,537","14,484","24,136"
Junior subordinated notes,,,,,,739,739
"Total Bank of America Corporation Bank of America, N.A.","9,728","17,807","24,469","24,948","21,809","134,320","233,081"
Senior notes,"1,340",,,,,,
Subordinated notes,,975,511,,,8,"2,834"
,502,1,1,,,"1,883","1,883"
Advances from Federal Home Loan Banks SecuritizationsandotherBank VIEs(),"4,056","3 1,241",1 977,,18,75,599
,112,16,189,,,22,"6,296"
"Other Total Bank of America, N.A.","6,010","2,235","1,678",,279 297,"87 2,075",683
Other debt,,,,,,,"12,295"
Structured Liabilities,"4,613","2,414","2,221",655,859,,
Nonbank VIEs (1),1,,,,,"6,030 756","16,792"
Other,,,,,,9,757
Total other debt,"4,614","2,414","2,221",655,859,"6,795",9
Total long-term debt,"20,352","22,456","28,368","25,603","22,965","143,190","17,558 262,934"
