(Dollars in millions),,60-89 Days,30-59 Days Past Due (1),90 Days or More,Past Due (i),Total Past Due30 Days,"orMore December 31,2019",Past Due (1),Loans Accounted for Under the Fair,Value Option,Total Outstandings,Total Outstandings
Consumer real estate,,,,,,,,,,,,
Core portfolio,,,,,,,,,,,,
Residential mortgage,"$ 1,378 $ 261 $ 565 $ 2,204 $ 223,566 $","1,378",261,565,"2,204",,"$223,566",,,,"$225,770",
Home equity,,135,70,198,403,,"34,823",,,,"35,226",
Non-core portfolio,,,,,,,,,,,,
Residential mortgage,"458 209 1,263 1,930",458,209,"1,263","1,930",,"8,469",,,,"10,399",
Home equity,34 16 72 122,34,16,72,122,,"4,860",,,,"4,982",
Credit card and other consumer,,,,,,,,,,,,
Credit card,"564 429 1,042 2,035",564,429,"1,042","2,035",,"95,573",,,,"97,608",
"Direct/Indirect consumer,,(2)",297 85 35 417,,85,35,417,,"90,581",,,,"90,998",
Other consumer,— — — —,297,,,,,192,,,,192,
Total consumer,"2,866 1,070 3,175 7,111","2,866","1,070","3,175","7,111",,"458,064",,,,"465,175",
"Consumer loans accounted for under the fair value option,,(3)","$ 594,594",,,,,,"594,594",,,,,
"Total consumer loans and leases,,","2,866 1,070 3,175 7,111","2,866","1,070","3,175","7,111",,"458,064",,594,594,"465,769",
"Commercial,,",,,,,,,,,,,,
"U.S. commercial,,","788 279 371 1,438",788,279,371,"1,438",,"305,610",,,,"307,048",
"Non-U.S. commercial,,",35 23 8 66,35,23,8,66,,"104,900",,,,"104,966",
"Commercial real estate,,(4)",144 19 119 282,144,19,119,282,,"62,407",,,,"62,689",
"Commercial lease financing,,",100 56 39 195,100,56,39,195,,"19,685",,,,"19,880",
"U.S. small business commercial,,",119 56 107 282,119,56,107,282,,"15,051",,,,"15,333",
"Total commercial,,","1,186 433 644 2,263","1,186",433,644,"2,263",,"507,653",,,,"509,916",
"Commercial loans accounted for under the fair value option,,(3)","7,741 7,741",,,,,,"7,741",,"7,741","7,741",,
"Total commercial loans and leases,,","1,186 433 644 2,263","1,186",433,644,"2,263",,"507,653",,"7,741","8,335","517,657",
"Total loans and leases,,(5)","$ 4,052 $ 1,503 $ 3,819 $ 9,374 $ 965,717 $",,"1,503","3,819","9,374",,"$965,717",,"8,335",,"983,426",
"Percentage of outstandings,,,",0.41 % 0.15 % 0.39 % 0.95 % 98.20 % 0.85 % 100.00 %,,0.15%,0.39%,0.95%,%,98.20%,%,0.85%,%,,
