"December 31,2020",2019,2018,2017,2016
Consumer,,,"$,",
Consumer,Residential mortgage,"$ 223,555","236,169","208,557"
Consumer,Home equity,"34,311","40,208","48,286"
Consumer,Credit card,"78,708","97,608","98,338"
Consumer,Non-U.S. credit card,-,-,-
Consumer,Direct/Indirect consumer (1),"91,363","90,998","91,166"
Consumer,Other consumer (2),"124,192",202,"166,626"
Consumer,Total consumer loans excluding loans accounted for under the fair value option,"428,061","465,175","446,549"
Consumer,Consumer loans accounted for under the fair value option (3),"735,594",682,"928,1"
Consumer,Total consumer,"428,796","465,769","447,231"
Commercial,,,"$,",
Commercial,U.S. commercial,"288,728","307,048","299,277"
Commercial,Non-U.S. commercial,"90,460","104,966","98,776"
Commercial,Commercial real estate (4),"60,364","62,689","60,845"
Commercial,Commercial lease financing,"17,098","19,880","22,534"
Commercial,U.S. small business commercial (5),"36,469","15,333","14,565"
Commercial,Total commercial loans excluding loans accounted for under the fair value option,"456,650","494,583","481,432"
Commercial,Commercial loans accounted for under the fair value option (3),"5,946","7,741","3,667"
Commercial,Total commercial,"499,065","517,657","499,664"
Commercial,Less: Loans of business held for sale (6),-,-,-
Commercial,Total loans and leases,"$ 927,861","$ 983,426","$ 946,895"
