(Dollars in millions),2020,2019,% Change
Net interest income,"$ 5,468","$ 6,504",(16)%
Noninterest income:,,,
 Investment and brokerage services,"12,270","11,870",3
 All other income,846,"1,164",(27)
 Total noninterest income,"13,116","13,034",1
" Total revenue, net of interest expense","18,584","19,538",(5)
 Provision for credit losses,357,82,n/m
 Noninterest expense,"14,154","13,825",2
 Income before income taxes,"4,073","5,631",(28)
 Income tax expense,998,"1,380",(28)
 Net income,"$ 3,075","$ 4,251",(28)
 Effective tax rate,24.5 %,24.5 %,
 Net interest yield,1.73,2.33,
 Return on average allocated capital,21,29,
 Efficiency ratio,76.16,70.76,
Balance Sheet,,,
Average,,,
 Total loans and leases,"$ 183,402","$ 168,910",9 %
 Total earning assets,"316,008","279,681",13
 Total assets,"328,384","292,016",12
 Total deposits,"287,123","256,516",12
 Allocated capital,"15,000","14,500",3
Year end,,,
 Total loans and leases,"$ 188,562","$ 176,600",7 %
 Total earning assets,"356,873","287,201",24
 Total assets,"369,736","299,770",23
 Total deposits,"322,157","263,113",22
