,Weighted-,,,December 31,December 31
(Dollars in millions),average Rate,Interest Rates,Maturity Dates,2020,2019
Notes issued by Bank of America Corporation (1) Senior notes:,,,,,
Fixed,3.05%,0.25-8.05%,2021-2051,"174,385","140,265"
,0.74,0.09 - 4.96,2021-2044,"16,788","19,552"
Floating,,,,"17,033","16,941"
Senior structured notes Subordinated notes:,,,,,
Fixed,4.89,2.94 -8.57,2021-2045,"23,337","21,632"
Floating,1.15,0.88 - 1.41,2022-2026,799,782
Junior subordinated notes:,6.71,,,,736
Fixed,,6.45-8.05,2027-2066,738,1
Floating,1.03,1.03,2056,1,
"Total notes issued by Bank of America Corporation Notes issued by Bank of America, N.A.",,,,"233,081","199,909"
Senior notes:,,,,,
,3.34,3.34,2023,511,508
Fixed,0.33,0.28 - 0.49,2021-2041,"2,323","6,519"
Floating,,,,"1,883","1,744"
Subordinated notes,6.00,6.00,2036,,
Advances from Federal Home Loan Banks:,0.99,,,599,
Fixed Floating,,0.01- 7.72,2021-2034,,112
,,,,1,"2,500"
Securitizations and other BANA VIEs (2),,,,"6,296","8,373"
Other,,,,"683 12,295","402 20,158"
"Total notesissued by Bankof America,N.A.",,,,,
Other debt Structured liabilities,,,,"16,792","20,442"
Nonbank VIEs(2),,,,757,347
Other,,,,9,一
Total notes issued by nonbank and other entities,,,$,"17,558","20,789"
Total long-term debt,,,,"262,934","240,856"
