Level 1,Level 2,Level 3,Netting Adjustments (1),Assets/Liabilities at Fair Value
1,000,,,",1,000"
,,50,364,",,50,364"
49,517,4,157,",,53,674"
,,25,226,"1,507,,26,733"
53,597,32,619,"239,,86,455"
3,965,23,854,"482,,28,301"
,,24,324,",,24,324"
,,8,786,"1,553,,10,339"
107,079,118,966,"3,781,,229,826"
14,079,328,442,"2,226,(304,262),40,485"
67,332,1,196,",,68,528"
,,122,528,",,122,528"
,,4,641,",,4,641"
,,653,424,",1,077"
,,15,021,",,15,021"
,,11,989,"2,,11,991"
,,3,876,"65,,3,941"
,,17,804,"108,,17,912"
67,332,177,708,"599,,245,639"
403,10,126,299,",10,828"
,,7,642,"693,,8,335"
,,3,334,"375,,3,709"
11,782,1,376,"2,360,,15,518"
201,675,697,958,"10,333,(304,262),605,704"
508,,,,508
,,16,008,",,16,008"
13,140,282,,",13,422"
38,148,4,144,"2,,42,294"
10,751,11,310,",,22,061"
,,5,478,"15,,5,493"
62,039,21,214,"17,,83,270"
11,904,320,479,"4,764,(298,918),38,229"
,,3,941,",,3,941"
13,927,1,507,",,15,434"
,,33,826,"1,149,,34,975"
87,870,397,483,"5,930,(298,918),192,365"
