(Dollrs in millions),Pretax,Tax effect,After- tax,Pretax,Tax effect,After- tax,Pretax,Tax effect,After- tax
(Dollrs in millions),,2020,,,2019,,,2018,
Debt securities:,,,,,,,,,
Net increase (decrease)in fair value,"$6,819","$ (1,712)","$5,107","$8,020","$ (2,000)",$6.020,"$ (5,189)","$1,329","$ (3,860)"
Net realized (gins)reclassifedintoearings 1),(411),103,(308),(193),48,(145),(123),30,（93)
Net change,"6,408","(1,609)","4,799","7,827","(1,952)","5,875","(5,312)","1,359","(3,953)"
Debit valuation adjustments:,,,,,,,,,
Net increase (decrease)in fair value,(669),156,(513),"(1,276)",289,（987),952,(224),728
etrei),19,(4),15,18,6,24,26,(5),21
Net change,(650),152,(498),"(1,258)",295,(963),978,(229),749
Derivatives:,,,,,,,,,
Net increase (decrease)in fair value,"1,098",(268),830,692,(156),536,(232),74,(158)
Reclassifications into eamings:,,,,,,,,,
Net interest income,6,(1),5,104,(26),78,165,（40）,125
Compensation and benefits expense,(12),3,（9),2,,2,(27),7,(20)
Net realized (gains) losses reclassified into earnings,(6),2,（4),106,(26),80,138,(33),105
Net change,"1,092",(266),826,798,(182),616,(94),41,(53)
Employee benefit plans:,,,,,,,,,
Net increase (decrease) in fair value,(381),80,(301),41,(21),20,(703),164,(539)
Netactuariallsadreclassits ),261,(63),198,150,(36),114,171,(46),125
"Settlements,curtailments and other",5,1,5,3,(1),2,11,(2),9
Net change,(115),17,(98),194,(58),136,(521),116,(405)
Foreign currency:,,,,,,,,,
Net (decrease)in fair value,(251),199,(52),(13),(52),(65),(8）,(195),(203)
Net realized (gins)reclassfiedintoearigs (),(1),1,一,(110),89,(21),(149),98,(51)
Net change,(252),200,(52),(123),37,(86),(157),(97),(254)
Totalother comprehensive income (loss),"$6,483","$ (1,506)","$ 4,977","$7,438","$ (1,860)","$5,578","$ (5,106)","$1,190","$ (3,916)"
